evaluator_type,normalized_dimension,sample_size,num_raters,icc,ci_lower_95,ci_upper_95
expert,code_quality,2,2,,,
expert,content_accuracy,2,2,,,
expert,course_suitability,2,2,,,
expert,difficulty_alignment,2,2,,,
expert,instruction_clarity,2,2,,,
expert,overall_quality,2,2,,,
expert,pedagogical_effectiveness,2,2,,,
expert,practical_value,2,2,,,
expert,structure_completeness,2,2,,,
student,difficulty_alignment,2,2,,,
student,instruction_clarity,2,2,,,
student,overall_quality,2,2,,,
student,pedagogical_effectiveness,2,2,,,
student,willing_to_continue_using,2,2,,,
