metric,threshold,chi2_statistic,raw_p_value,degrees_of_freedom,p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,6.0,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
code_quality_metrics.starter_code_comment_line_ratio,0.17785,5.485714285714286,0.019172484755223134,1,0.12142573678307984
code_quality_metrics.starter_code_docstring_count,0.0,0.6,0.4385780260809997,1,0.7650253122403349
code_quality_metrics.starter_code_function_count,2.0,3.0,0.08326451666355043,1,0.31640516332149166
code_quality_metrics.starter_code_loc_total,19.0,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
code_quality_metrics.starter_code_max_function_loc,7.0,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
code_quality_metrics.starter_code_mccabe_max,3.0,0.0,1.0,1,1.0
code_quality_metrics.starter_code_mi,94.26855,0.0,1.0,1,1.0
code_quality_metrics.starter_code_pylint_warning_count,11.0,5.485714285714286,0.019172484755223134,1,0.12142573678307984
code_quality_metrics.starter_code_ruff_error_count,5.5,1.3714285714285714,0.24156658696896946,1,0.6556807360586314
instruction_metrics.avg_sentence_length,20.52085,3.0,0.08326451666355043,1,0.31640516332149166
instruction_metrics.flesch_kincaid_grade,11.6897,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
instruction_metrics.flesch_reading_ease,45.366150000000005,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
instruction_metrics.instruction_completeness_ratio,0.8333,5.485714285714286,0.019172484755223134,1,0.12142573678307984
instruction_metrics.max_sentence_length,28.0,1.3714285714285714,0.24156658696896946,1,0.6556807360586314
instruction_metrics.technical_term_density_instruction,0.0379,0.0,1.0,1,1.0
instruction_metrics.var_sentence_length,64.2222,0.3333333333333333,0.5637028616507731,1,0.7650253122403349
structure_metrics.structure_completeness_ratio,0.875,0.0,1.0,1,1.0
structure_metrics.structure_score_weighted,0.8667,0.0,1.0,1,1.0
