evaluator_type,normalized_dimension,sample_size,num_raters,cronbach_alpha,ci_lower_95,ci_upper_95
expert,code_quality,1,2,,,
expert,content_accuracy,1,2,,,
expert,course_suitability,1,2,,,
expert,difficulty_alignment,1,2,,,
expert,instruction_clarity,1,2,,,
expert,overall_quality,1,2,,,
expert,pedagogical_effectiveness,1,2,,,
expert,practical_value,1,2,,,
expert,structure_completeness,1,2,,,
student,difficulty_alignment,1,2,,,
student,instruction_clarity,1,2,,,
student,overall_quality,1,2,,,
student,pedagogical_effectiveness,1,2,,,
student,willing_to_continue_using,1,2,,,
