metric,ai_n,expert_n,ai_mean,expert_mean,t_statistic,raw_p_value,mann_whitney_u,mann_whitney_p_value,cohens_d,p_adjust_bh,mann_whitney_p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,6,4,2.125,5.25,-0.5765513382092653,0.60023174202992,12.0,1.0,-0.45034081178497093,0.67526070978366,1.0
code_quality_metrics.starter_code_comment_line_ratio,6,4,0.27595,0.0,5.71897855872975,0.002285706104194644,24.0,0.011417221487911723,2.9532678287036824,0.012901094441208504,0.041457639454200904
code_quality_metrics.starter_code_docstring_count,6,4,0.0,0.0,,,12.0,1.0,,0.012901094441208504,1.0
code_quality_metrics.starter_code_function_count,6,4,1.1666666666666667,0.25,1.1607922952811003,0.28946589080407004,14.0,0.693974373462473,0.6183093700512771,0.34735906896488405,0.9608875940249627
code_quality_metrics.starter_code_loc_total,6,4,36.0,14.5,3.3408031661216757,0.014829137766562755,23.0,0.024741043348195647,1.7877911123410364,0.012901094441208504,0.05566734753344021
code_quality_metrics.starter_code_max_function_loc,6,4,2.6666666666666665,5.25,-0.4684832387763603,0.6661845639179851,12.0,1.0,-0.3582080003202387,0.7053718912072784,1.0
code_quality_metrics.starter_code_mi,6,4,94.71570000000001,94.138675,0.08427436823209236,0.9360025494304204,12.0,1.0,0.05813864527166962,0.9360025494304204,1.0
code_quality_metrics.starter_code_pylint_warning_count,6,4,7.0,2.5,3.3386807260991116,0.017962136529773912,24.0,0.013345792583692584,1.7483145522430754,0.0404148071919913,0.041457639454200904
code_quality_metrics.starter_code_ruff_error_count,6,4,2.0,12.5,-4.904543348217595,0.011397844448632885,0.0,0.013632489904161065,-3.802501333785778,0.029308742867913132,0.041457639454200904
instruction_metrics.avg_sentence_length,6,6,21.041666666666668,13.027783333333332,3.2880153406712695,0.008259837437348658,33.5,0.01612241534330035,1.8983365420361766,0.024779512312045976,0.041457639454200904
instruction_metrics.flesch_kincaid_grade,6,6,11.9856,9.144,2.405194003331795,0.04734949299987779,30.0,0.06493506493506493,1.3886394052768856,0.09469898599975558,0.12695912844280574
instruction_metrics.flesch_reading_ease,6,6,38.45718333333334,51.2738,-1.9972498451192082,0.08835537140121398,7.0,0.09307359307359307,-1.1531127357185131,0.14458151683835016,0.15230224321133412
instruction_metrics.instruction_completeness_ratio,6,6,0.9722166666666666,0.55555,4.791202622768583,0.002866909875824112,35.5,0.004529562326794165,2.766202123997482,0.012901094441208504,0.041457639454200904
instruction_metrics.max_sentence_length,6,6,30.0,16.333333333333332,3.853546849534176,0.006138200338997169,36.0,0.004998124765082457,2.2248463109133905,0.022097521220389806,0.041457639454200904
instruction_metrics.technical_term_density_instruction,6,6,0.0176,0.008233333333333334,1.4803011713746042,0.17507771621919857,27.0,0.16589128070549863,0.8546522797748461,0.2250999208532553,0.24883692105824795
instruction_metrics.var_sentence_length,6,6,56.53421666666667,9.7639,1.8566753796043476,0.12127354207333257,33.0,0.015151515151515152,1.0719520302123207,0.16791721210153743,0.041457639454200904
structure_metrics.structure_completeness_ratio,6,6,0.875,0.75,2.23606797749979,0.07558681842161243,27.0,0.07053284913489208,1.2909944487358056,0.13605627315890237,0.12695912844280574
structure_metrics.structure_score_weighted,6,6,0.8666999999999999,0.75555,2.0330384924261864,0.09773191712305274,18.0,1.0,1.1737753208751296,0.1465978756845791,1.0
