difficulty,metric,sample_size,mean,std,median,min,max
intermediate,rougeL_f1_instruction_only,2,0.1109,0.03379970414071698,0.1109,0.087,0.1348
intermediate,tfidf_cosine_full_text,2,0.31645,0.11080363261193199,0.31645,0.2381,0.3948
intermediate,tfidf_cosine_instruction_only,2,0.0927,0.023617366491630685,0.0927,0.076,0.1094
intermediate,topic_coherence_score_ai,2,0.3,0.0,0.3,0.3,0.3
intermediate,topic_coherence_score_reference,2,0.15000000000000002,0.07071067811865477,0.15000000000000002,0.1,0.2
intermediate-advanced,rougeL_f1_instruction_only,3,0.2076,0.08713099333761783,0.2312,0.1111,0.2805
intermediate-advanced,tfidf_cosine_full_text,3,0.3518666666666666,0.11237100753011577,0.3951,0.2243,0.4362
intermediate-advanced,tfidf_cosine_instruction_only,3,0.2182666666666667,0.07185404187193183,0.2357,0.1393,0.2798
intermediate-advanced,topic_coherence_score_ai,3,0.4666666666666666,0.23094010767585027,0.6,0.2,0.6
intermediate-advanced,topic_coherence_score_reference,3,0.20000000000000004,0.2,0.2,0.0,0.4
