source_type,metric,sample_size,mean,std,median,min,max
AI,code_quality_metrics.starter_code_avg_function_loc,1,0.0,,0.0,0.0,0.0
AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.2941,,0.2941,0.2941,0.2941
AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
AI,code_quality_metrics.starter_code_function_count,1,0.0,,0.0,0.0,0.0
AI,code_quality_metrics.starter_code_loc_total,1,17.0,,17.0,17.0,17.0
AI,code_quality_metrics.starter_code_max_function_loc,1,0.0,,0.0,0.0,0.0
AI,code_quality_metrics.starter_code_mi,1,100.0,,100.0,100.0,100.0
AI,code_quality_metrics.starter_code_pylint_warning_count,1,5.0,,5.0,5.0,5.0
AI,code_quality_metrics.starter_code_ruff_error_count,1,2.0,,2.0,2.0,2.0
AI,instruction_metrics.avg_sentence_length,1,27.3333,,27.3333,27.3333,27.3333
AI,instruction_metrics.flesch_kincaid_grade,1,10.8108,,10.8108,10.8108,10.8108
AI,instruction_metrics.flesch_reading_ease,1,40.7092,,40.7092,40.7092,40.7092
AI,instruction_metrics.instruction_completeness_ratio,1,0.8333,,0.8333,0.8333,0.8333
AI,instruction_metrics.max_sentence_length,1,38.0,,38.0,38.0,38.0
AI,instruction_metrics.technical_term_density_instruction,1,0.0122,,0.0122,0.0122,0.0122
AI,instruction_metrics.var_sentence_length,1,89.5556,,89.5556,89.5556,89.5556
AI,structure_metrics.structure_completeness_ratio,1,1.0,,1.0,1.0,1.0
AI,structure_metrics.structure_score_weighted,1,1.0,,1.0,1.0,1.0
Expert,instruction_metrics.avg_sentence_length,1,9.0,,9.0,9.0,9.0
Expert,instruction_metrics.flesch_kincaid_grade,1,11.52,,11.52,11.52,11.52
Expert,instruction_metrics.flesch_reading_ease,1,28.5,,28.5,28.5,28.5
Expert,instruction_metrics.instruction_completeness_ratio,1,0.3333,,0.3333,0.3333,0.3333
Expert,instruction_metrics.max_sentence_length,1,9.0,,9.0,9.0,9.0
Expert,instruction_metrics.technical_term_density_instruction,1,0.1111,,0.1111,0.1111,0.1111
Expert,instruction_metrics.var_sentence_length,1,0.0,,0.0,0.0,0.0
Expert,structure_metrics.structure_completeness_ratio,1,0.625,,0.625,0.625,0.625
Expert,structure_metrics.structure_score_weighted,1,0.6333,,0.6333,0.6333,0.6333
