rating_id,evaluator_id,blind_exercise_id,instruction_clarity,information_completeness,content_accuracy,structure_completeness,difficulty_appropriateness,pedagogical_effectiveness,course_suitability,practical_value,code_quality,overall_score,needs_improvement,issue_flags,notes,dataset_split
,,B0002,,,,,,,,,,,,,,formal
,,B0005,,,,,,,,,,,,,,formal
,,B0008,,,,,,,,,,,,,,formal
,,B0011,,,,,,,,,,,,,,formal
,,B0013,,,,,,,,,,,,,,formal
,,B0014,,,,,,,,,,,,,,formal
,,B0016,,,,,,,,,,,,,,formal
,,B0017,,,,,,,,,,,,,,formal
,,B0019,,,,,,,,,,,,,,formal
,,B0020,,,,,,,,,,,,,,formal
,,B0021,,,,,,,,,,,,,,formal
,,B0022,,,,,,,,,,,,,,formal
,,B0023,,,,,,,,,,,,,,formal
,,B0024,,,,,,,,,,,,,,formal
,,B0025,,,,,,,,,,,,,,formal
,,B0028,,,,,,,,,,,,,,formal
,,B0030,,,,,,,,,,,,,,formal
,,B0031,,,,,,,,,,,,,,formal
,,B0033,,,,,,,,,,,,,,formal
,,B0036,,,,,,,,,,,,,,formal
,,B0038,,,,,,,,,,,,,,formal
,,B0041,,,,,,,,,,,,,,formal
,,B0042,,,,,,,,,,,,,,formal
,,B0043,,,,,,,,,,,,,,formal
,,B0044,,,,,,,,,,,,,,formal
,,B0046,,,,,,,,,,,,,,formal
