participant_id,package_id,overall_usefulness,overall_ease,continued_use_intention,overall_quality,final_comment,rating_time_seconds,saved_at
S001,STUDENT-P01,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,366.43,2026-03-17 06:10:25.099299+00
S002,STUDENT-P02,4,3,3,4,,250.62,2026-03-17 13:29:45.839117+00
S003,STUDENT-P03,5,3,3,4,,428.62,2026-03-17 11:42:00.493698+00
S004,STUDENT-P04,4,3,3,4,,324.48,2026-03-17 02:51:28.877634+00
S005,STUDENT-P05,3,3,4,4,总体上能用，不过如果提示再明确一些会更好。,226.52,2026-03-17 02:21:39.162682+00
S006,STUDENT-P06,3,3,4,4,,312.78,2026-03-17 07:23:23.166881+00
S007,STUDENT-P01,3,3,4,4,,285.32,2026-03-17 03:08:31.786093+00
S008,STUDENT-P02,4,4,4,3,,431.39,2026-03-17 03:28:59.383138+00
S009,STUDENT-P03,3,3,3,4,,444.2,2026-03-17 09:28:05.398820+00
S010,STUDENT-P04,3,4,3,4,,340.73,2026-03-17 15:25:50.911030+00
S011,STUDENT-P05,4,3,3,4,,300.83,2026-03-17 13:35:49.852066+00
S012,STUDENT-P06,4,3,3,4,,265.23,2026-03-17 06:44:38.181448+00
S013,STUDENT-P01,4,4,4,4,,229.26,2026-03-17 08:21:53.861342+00
S014,STUDENT-P02,3,4,4,4,练习题整体不差，但教学引导还可以再加强。,235.33,2026-03-17 05:45:50.365498+00
S015,STUDENT-P03,4,3,3,3,,349.73,2026-03-17 09:51:38.922904+00
S016,STUDENT-P04,3,4,3,4,,404.66,2026-03-17 06:58:49.545048+00
S017,STUDENT-P05,3,3,4,4,有些题比较有帮助，但也有几题信息量偏大。,367.04,2026-03-18 08:17:46.968400+00
S018,STUDENT-P06,4,3,3,3,,395.0,2026-03-18 13:10:49.157383+00
S019,STUDENT-P01,4,3,3,4,,394.08,2026-03-18 14:21:55.081603+00
S020,STUDENT-P02,4,4,3,3,,285.15,2026-03-18 04:34:31.970917+00
S021,STUDENT-P03,4,4,4,3,,372.62,2026-03-18 06:59:20.064483+00
S022,STUDENT-P04,4,4,4,3,,356.19,2026-03-18 11:27:06.755250+00
S023,STUDENT-P05,3,4,4,4,,282.53,2026-03-18 03:57:56.667099+00
S024,STUDENT-P06,4,3,3,4,,359.9,2026-03-18 11:08:36.617102+00
S025,STUDENT-P01,3,4,3,4,,341.52,2026-03-18 06:18:35.429079+00
S026,STUDENT-P02,3,3,3,4,,389.65,2026-03-18 08:33:44.065989+00
S027,STUDENT-P03,3,4,3,5,,361.27,2026-03-18 05:07:38.731073+00
S028,STUDENT-P04,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,390.22,2026-03-18 03:58:43.596388+00
S029,STUDENT-P05,4,4,4,3,,283.13,2026-03-18 11:27:20.404973+00
S030,STUDENT-P06,4,3,3,4,练习题整体不差，但教学引导还可以再加强。,131.13,2026-03-18 05:32:49.378599+00
S031,STUDENT-P01,5,4,4,5,,381.97,2026-03-18 10:43:06.759869+00
S032,STUDENT-P02,4,3,3,4,我会继续做，但希望题目能给更明确的起步说明。,352.32,2026-03-18 03:44:44.622071+00
S033,STUDENT-P03,3,2,4,4,,355.28,2026-03-18 12:06:41.342953+00
S034,STUDENT-P04,3,3,3,3,,412.93,2026-03-18 12:23:16.188737+00
S035,STUDENT-P05,3,3,4,3,,401.38,2026-03-18 09:13:26.973795+00
S036,STUDENT-P06,4,4,4,4,,318.19,2026-03-19 05:40:37.910613+00
S037,STUDENT-P01,4,3,4,4,整体质量中等偏上，能看出题目组织得比较清楚。,354.79,2026-03-19 10:42:21.725522+00
S038,STUDENT-P02,3,4,3,4,,224.1,2026-03-19 09:18:34.535334+00
S039,STUDENT-P03,3,3,3,4,,390.31,2026-03-19 02:40:51.377847+00
S040,STUDENT-P04,3,4,4,4,,309.64,2026-03-19 05:47:43.980781+00
S041,STUDENT-P05,4,4,4,3,,315.46,2026-03-19 06:19:35.417772+00
S042,STUDENT-P06,3,3,4,4,有些题比较有帮助，但也有几题信息量偏大。,339.47,2026-03-19 07:49:58.412648+00
S043,STUDENT-P01,3,3,3,4,,344.98,2026-03-19 15:25:49.639617+00
S044,STUDENT-P02,4,3,3,4,,307.98,2026-03-19 04:16:56.564705+00
S045,STUDENT-P03,4,3,4,4,,335.57,2026-03-19 13:17:12.080368+00
S046,STUDENT-P04,4,4,4,3,,442.03,2026-03-19 03:28:56.967139+00
S047,STUDENT-P05,4,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,332.09,2026-03-19 15:30:50.759752+00
S048,STUDENT-P06,4,4,3,4,,297.87,2026-03-19 11:43:45.795536+00
S049,STUDENT-P01,4,4,4,2,练习题整体不差，但教学引导还可以再加强。,335.6,2026-03-19 14:44:05.027330+00
S050,STUDENT-P02,4,4,3,4,有些题比较有帮助，但也有几题信息量偏大。,269.86,2026-03-19 03:05:03.112397+00
S051,STUDENT-P03,4,3,4,4,,330.39,2026-03-19 07:44:11.651501+00
S052,STUDENT-P04,5,3,3,4,总体上能用，不过如果提示再明确一些会更好。,275.05,2026-03-19 05:53:26.746949+00
S053,STUDENT-P05,4,3,4,3,有些题比较有帮助，但也有几题信息量偏大。,316.9,2026-03-19 03:23:55.012865+00
S054,STUDENT-P06,4,4,3,4,,345.06,2026-03-19 13:26:15.522624+00
S055,STUDENT-P01,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,400.39,2026-03-19 06:23:14.983844+00
S056,STUDENT-P02,3,3,2,4,,312.5,2026-03-19 03:58:53.342363+00
S057,STUDENT-P03,4,3,4,4,,384.83,2026-03-19 13:41:42.830001+00
S058,STUDENT-P04,3,4,4,3,有些题比较有帮助，但也有几题信息量偏大。,416.95,2026-03-19 02:18:39.480721+00
S059,STUDENT-P05,3,3,4,3,,369.61,2026-03-19 06:17:23.455244+00
S060,STUDENT-P06,4,3,3,4,,354.66,2026-03-19 09:49:17.752032+00
