participant_id,package_id,blind_exercise_id,item_order,task_goal_clarity,key_support,course_relevance,learning_help,info_load,search_effort,active_engagement,mental_effort,open_comment,saved_at
S001,STUDENT-P01,B0044,1,4,4,4,3,4,4,4,4,题目不算完全看不懂，但需要更多引导。,2026-03-17 06:06:20.771733+00
S001,STUDENT-P01,B0016,2,3,3,3,4,4,3,4,4,,2026-03-17 06:07:22.500586+00
S001,STUDENT-P01,B0002,3,3,3,2,2,3,4,2,4,信息有点多，最好再给一步步提示。,2026-03-17 06:08:35.078137+00
S001,STUDENT-P01,B0046,4,4,4,4,3,4,5,4,5,,2026-03-17 06:10:04.275316+00
S002,STUDENT-P02,B0028,1,3,3,4,3,3,3,3,4,,2026-03-17 13:27:15.658477+00
S002,STUDENT-P02,B0008,2,4,4,4,3,3,3,4,4,,2026-03-17 13:28:08.033083+00
S002,STUDENT-P02,B0024,3,4,3,4,4,3,3,3,3,,2026-03-17 13:28:49.683757+00
S002,STUDENT-P02,B0013,4,4,4,4,4,3,3,5,3,,2026-03-17 13:29:31.818398+00
S003,STUDENT-P03,B0041,1,4,4,4,4,4,3,4,3,,2026-03-17 11:36:24.112303+00
S003,STUDENT-P03,B0036,2,3,3,3,3,3,3,3,4,,2026-03-17 11:37:40.802953+00
S003,STUDENT-P03,B0011,3,3,3,3,3,3,3,3,3,,2026-03-17 11:38:42.536598+00
S003,STUDENT-P03,B0025,4,3,3,4,3,4,4,4,4,,2026-03-17 11:40:08.266581+00
S003,STUDENT-P03,B0019,5,4,3,3,3,4,5,3,4,相关信息比较多，阅读时需要来回找重点。,2026-03-17 11:41:47.310453+00
S004,STUDENT-P04,B0042,1,5,5,5,3,3,3,5,3,,2026-03-17 02:47:28.171858+00
S004,STUDENT-P04,B0022,2,3,3,3,3,4,3,3,4,,2026-03-17 02:48:29.635856+00
S004,STUDENT-P04,B0005,3,3,3,3,3,4,3,3,4,,2026-03-17 02:49:31.620799+00
S004,STUDENT-P04,B0033,4,4,4,4,5,3,3,3,3,,2026-03-17 02:50:21.482162+00
S004,STUDENT-P04,B0031,5,4,3,3,3,3,3,3,3,,2026-03-17 02:51:11.529548+00
