participant_id,package_id,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,started_at,submitted_at,attention_check_score,attention_check_passed,created_at,updated_at
S001,STUDENT-P01,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,4,True,2026-03-17 06:10:25.708204+00,2026-03-17 06:10:25.782831+00
S002,STUDENT-P02,是,本科低年级,学过机器学习或深度学习基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 13:25:35.789310+00,2026-03-17 13:29:46.411121+00,4,True,2026-03-17 13:29:46.459100+00,2026-03-17 13:29:46.462081+00
S003,STUDENT-P03,是,本科高年级,学过基础编程,一般,非常不熟悉,是,CNN,2026-03-17 11:34:52.444050+00,2026-03-17 11:42:01.059265+00,4,True,2026-03-17 11:42:01.237073+00,2026-03-17 11:42:01.307066+00
S004,STUDENT-P04,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,4,True,2026-03-17 02:51:29.217928+00,2026-03-17 02:51:29.246767+00
S005,STUDENT-P05,是,硕士研究生,学过机器学习或深度学习基础,比较熟悉,不太熟悉,是,优化与训练分析,2026-03-17 02:17:52.758766+00,2026-03-17 02:21:39.281855+00,4,True,2026-03-17 02:21:39.446765+00,2026-03-17 02:21:39.484486+00
S006,STUDENT-P06,是,本科低年级,学过基础编程,一般,一般,是,CNN; Transformer,2026-03-17 07:18:10.745278+00,2026-03-17 07:23:23.523232+00,4,True,2026-03-17 07:23:23.665361+00,2026-03-17 07:23:23.727002+00
S007,STUDENT-P01,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,4,True,2026-03-17 03:08:32.435769+00,2026-03-17 03:08:32.475643+00
S008,STUDENT-P02,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,4,True,2026-03-17 03:28:59.965386+00,2026-03-17 03:29:00.044923+00
S009,STUDENT-P03,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,4,True,2026-03-17 09:28:05.989220+00,2026-03-17 09:28:06.043103+00
S010,STUDENT-P04,是,硕士研究生,学过基础编程,比较熟悉,非常熟悉,是,CNN; 优化与训练分析,2026-03-17 15:20:10.500832+00,2026-03-17 15:25:51.233997+00,4,True,2026-03-17 15:25:51.393761+00,2026-03-17 15:25:51.436056+00
