"category","item","count"
"topic","CNN","3"
"topic","Optimization","3"
"topic","RNN","5"
"topic","Transformer","2"
"difficulty","beginner","1"
"difficulty","beginner-intermediate","2"
"difficulty","intermediate","8"
"difficulty","intermediate-advanced","2"
"exercise_type","code completion","5"
"exercise_type","model building","5"
"exercise_type","model revision","2"
"exercise_type","training-analysis","1"
"source_subtype","Expert-Assignment Exercise","3"
"source_subtype","Expert-Derived Exercise Unit","1"
"source_subtype","Expert-Tutorial Task","9"
