"category","item","count","percentage"
"study_stage","本科高年级","11","40.74"
"study_stage","本科低年级","11","40.74"
"study_stage","硕士研究生","4","14.81"
"study_stage","博士研究生","1","3.7"
"programming_background","几乎没有编程基础","12","44.44"
"programming_background","学过机器学习或深度学习基础","7","25.93"
"programming_background","学过基础编程","6","22.22"
"programming_background","有较多相关课程或项目经验","2","7.41"
"python_familiarity","一般","12","44.44"
"python_familiarity","比较熟悉","8","29.63"
"python_familiarity","非常熟悉","4","14.81"
"python_familiarity","不太熟悉","3","11.11"
"framework_familiarity","一般","8","29.63"
"framework_familiarity","比较熟悉","7","25.93"
"framework_familiarity","不太熟悉","5","18.52"
"framework_familiarity","非常熟悉","4","14.81"
"framework_familiarity","非常不熟悉","3","11.11"
"dl_course_taken","是","19","70.37"
"dl_course_taken","否","8","29.63"
"familiar_topics_multi_select","CNN","15","55.56"
"familiar_topics_multi_select","RNN / LSTM","9","33.33"
"familiar_topics_multi_select","优化与训练分析","9","33.33"
"familiar_topics_multi_select","Transformer","6","22.22"
"familiar_topics_multi_select","都不太熟悉","3","11.11"
