code_quality_metrics.solution_code_avg_function_loc,code_quality_metrics.solution_code_comment_line_ratio,code_quality_metrics.solution_code_docstring_count,code_quality_metrics.solution_code_function_count,code_quality_metrics.solution_code_has_docstring_flag,code_quality_metrics.solution_code_loc_total,code_quality_metrics.solution_code_long_function_flag,code_quality_metrics.solution_code_max_function_loc,code_quality_metrics.solution_code_mccabe_max,code_quality_metrics.solution_code_mi,code_quality_metrics.solution_code_naming_violation_flag,code_quality_metrics.solution_code_pylint_warning_count,code_quality_metrics.solution_code_ruff_error_count,code_quality_metrics.solution_code_static_analysis_ok,code_quality_metrics.solution_code_syntax_parse_ok,code_quality_metrics.starter_code_avg_function_loc,code_quality_metrics.starter_code_comment_line_ratio,code_quality_metrics.starter_code_docstring_count,code_quality_metrics.starter_code_function_count,code_quality_metrics.starter_code_has_docstring_flag,code_quality_metrics.starter_code_loc_total,code_quality_metrics.starter_code_long_function_flag,code_quality_metrics.starter_code_max_function_loc,code_quality_metrics.starter_code_mccabe_max,code_quality_metrics.starter_code_mi,code_quality_metrics.starter_code_naming_violation_flag,code_quality_metrics.starter_code_pylint_warning_count,code_quality_metrics.starter_code_ruff_error_count,code_quality_metrics.starter_code_static_analysis_ok,code_quality_metrics.starter_code_syntax_parse_ok,difficulty,exercise_id,exercise_type,instruction_metrics.avg_sentence_length,instruction_metrics.flesch_kincaid_grade,instruction_metrics.flesch_reading_ease,instruction_metrics.instruction_completeness_ratio,instruction_metrics.instruction_has_background_knowledge,instruction_metrics.instruction_has_constraints,instruction_metrics.instruction_has_eval_criteria,instruction_metrics.instruction_has_io_spec,instruction_metrics.instruction_has_submission_format,instruction_metrics.instruction_has_task_goal,instruction_metrics.max_sentence_length,instruction_metrics.technical_term_density_instruction,instruction_metrics.var_sentence_length,source_type,structure_metrics.constraints_present,structure_metrics.expected_goal_present,structure_metrics.io_spec_present,structure_metrics.solution_or_hint_present,structure_metrics.starter_code_or_env_present,structure_metrics.structure_completeness_ratio,structure_metrics.structure_score_weighted,structure_metrics.task_description_present,structure_metrics.test_cases_present,structure_metrics.title_present,topic
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.2692,1,1,True,26,False,31,1,65.2344,False,nan,nan,True,True,intermediate,AI-CURATED-CNN-01,code completion,20.8,10.0414,48.515,0.8333,True,True,True,True,False,True,31.0,0.0481,69.76,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,0.2105,1,1,True,19,False,19,1,100.0,False,nan,nan,True,True,beginner,AI-CURATED-CNN-02,code completion,16.6667,9.4161,49.3727,0.8333,True,True,True,True,False,True,32.0,0.06,117.5556,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,0.2381,0,2,False,21,False,4,2,100.0,False,nan,nan,True,True,beginner-intermediate,AI-CURATED-CNN-03,model building,22.5,11.5947,44.7068,0.8333,True,True,True,True,False,True,31.0,0.0,36.75,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.875,0,0,False,8,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-CNN-04,training-analysis,23.6667,14.9132,30.295,1.0,True,True,True,True,True,True,32.0,0.0,72.2222,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.3448,0,0,False,29,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-DTL-01,training-analysis,23.6667,13.3115,32.5764,1.0,True,True,True,True,True,True,30.0,0.0141,24.2222,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,0.1795,0,3,False,39,False,8,2,88.6579,False,nan,nan,True,True,intermediate,AI-CURATED-DTL-02,training-analysis,17.4,12.9632,33.8264,1.0,True,True,True,True,True,True,28.0,0.023,61.44,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2941,0,0,False,17,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-DTL-03,training-analysis,27.3333,10.8108,40.7092,0.8333,True,True,True,True,False,True,38.0,0.0122,89.5556,AI,True,True,True,True,True,1.0,1.0,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,0.1538,0,1,False,13,False,6,1,95.51,False,nan,nan,True,True,beginner,AI-CURATED-KER-01,model building,17.2,12.7285,35.1528,1.0,True,True,True,True,True,True,35.0,0.0,98.96,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.4211,0,0,False,19,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-KER-02,model building,14.75,10.7133,44.97,1.0,True,True,True,True,True,True,19.0,0.0339,8.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.5,0.3095,0,2,False,42,False,25,1,95.6427,False,nan,nan,True,True,intermediate-advanced,AI-CURATED-KER-03,model building,26.5,16.5936,28.1924,1.0,True,True,True,True,True,True,58.0,0.0094,392.75,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,0.2778,0,2,False,36,False,12,4,86.8638,False,nan,nan,True,True,intermediate,AI-CURATED-KER-04,model building,28.75,12.9198,36.5721,1.0,True,True,True,True,True,True,55.0,0.0435,243.6875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.5,0.1481,1,2,True,27,False,13,2,92.1671,False,nan,nan,True,True,intermediate,AI-CURATED-MIT-01,code completion,17.5,9.9464,54.9211,0.8333,True,True,True,True,False,True,24.0,0.0714,29.25,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,0.2857,0,1,False,21,False,22,1,100.0,False,nan,nan,True,True,beginner-intermediate,AI-CURATED-MIT-02,model building,17.3333,8.2121,56.4903,1.0,True,True,True,True,True,True,27.0,0.0288,35.8889,AI,True,True,True,False,True,0.875,0.8667,True,True,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.75,0.1129,0,4,False,62,False,8,1,79.6363,False,nan,nan,True,True,beginner-intermediate,AI-CURATED-OPT-02,training-analysis,27.25,12.5355,38.7333,1.0,True,True,True,True,True,True,45.0,0.0092,176.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.4118,0,0,False,17,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-OPT-03,model revision,21.2,10.1066,48.5568,0.8333,True,True,True,True,False,True,29.0,0.0189,45.76,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.3714,0,0,False,35,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-OPT-04,model revision,16.3333,11.3426,35.5604,1.0,True,True,True,True,True,True,22.0,0.0306,18.5556,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1111,0,0,False,27,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-OPT-05,model revision,18.5,12.6696,32.7254,1.0,True,True,True,True,True,True,29.0,0.009,41.9167,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,0.2667,0,2,False,15,False,7,2,97.0667,False,nan,nan,True,True,intermediate,AI-CURATED-RNN-01,code completion,19.25,11.0745,49.0598,1.0,True,True,True,True,True,True,28.0,0.013,70.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5,0.4,0,2,False,25,False,6,2,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-RNN-02,model building,15.1667,10.9117,44.1412,1.0,True,True,True,True,True,True,20.0,0.022,30.4722,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.8571,0.2128,0,7,False,47,False,6,3,77.5799,False,nan,nan,True,True,intermediate,AI-CURATED-RNN-03,model building,21.0,11.8771,41.6725,1.0,True,True,True,True,True,True,33.0,0.0476,86.0,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.5,0.3243,1,2,True,37,False,27,3,88.7743,False,nan,nan,True,True,intermediate-advanced,AI-CURATED-TRF-01,code completion,18.5,10.1478,48.3119,1.0,True,True,True,True,True,True,39.0,0.0541,147.25,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,0.2069,1,1,True,29,False,29,1,100.0,False,nan,nan,True,True,intermediate,AI-CURATED-TRF-02,code completion,18.75,11.2318,47.9318,0.8333,True,True,True,True,False,True,41.0,0.04,168.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,0.2,1,1,True,25,False,25,1,100.0,False,nan,nan,True,True,intermediate-advanced,AI-CURATED-UVA-02,code completion,29.3333,12.6948,42.7863,1.0,True,True,True,True,True,True,48.0,0.0455,198.2222,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.2424,1,1,True,33,False,37,1,100.0,False,nan,nan,True,True,intermediate,CNN-01,code completion,15.25,8.8719,52.1162,1.0,True,True,True,True,True,True,24.0,0.0164,37.6875,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,0.2222,0,1,False,9,False,6,1,100.0,False,nan,nan,True,True,beginner,CNN-02,concept-to-code,28.0,15.37,45.425,0.3333,True,False,False,False,False,True,28.0,0.1071,0.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,beginner-intermediate,CNN-03,model building,11.4,8.3871,56.1262,0.6667,True,True,False,True,False,True,27.0,0.0088,63.44,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,CNN-04,training-analysis,15.0,6.4651,74.2402,0.6667,True,True,False,True,False,True,24.0,0.0,44.6667,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-01,training-analysis,9.0,8.4607,50.4333,0.5,True,False,False,False,True,True,13.0,0.0,14.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-02,training-analysis,6.6667,5.89,64.7083,0.3333,True,False,False,False,False,True,11.0,0.0,10.8889,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-03,training-analysis,9.0,11.52,28.5,0.3333,True,False,False,False,False,True,9.0,0.1111,0.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,12,nan,0,nan,100.0,False,nan,nan,True,True,beginner,KER-01,model building,19.5,11.975,44.83,0.6667,True,True,False,True,False,True,21.0,0.0,2.25,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,13,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,KER-02,model building,18.5,12.6736,37.1494,0.6667,True,True,False,True,False,True,25.0,0.0541,42.25,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate-advanced,KER-03,model building,22.0,16.8582,13.3823,0.6667,True,True,False,True,False,True,35.0,0.0,169.0,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,18,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,KER-04,model building,18.3333,12.5855,37.4848,0.6667,True,True,False,True,False,True,25.0,0.0545,22.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,0.1053,0,3,False,19,False,11,3,90.1552,False,nan,nan,True,True,intermediate,MIT-01,code completion,15.3333,8.9027,57.3574,0.6667,True,True,False,True,False,True,28.0,0.0435,80.2222,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2727,nan,nan,nan,22,nan,nan,nan,nan,nan,nan,nan,False,False,beginner-intermediate,MIT-02,model building,28.5,12.5218,39.1289,0.6667,True,True,False,True,False,True,31.0,0.0,6.25,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,CNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,0.0,0,1,False,21,False,21,2,76.5547,False,nan,nan,True,True,beginner-intermediate,OPT-02,training-analysis,12.5,8.1111,59.7676,0.8333,True,True,False,True,True,True,17.0,0.0,13.9167,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,12,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,OPT-03,model revision,17.0,9.0871,60.1918,0.3333,True,False,False,False,False,True,21.0,0.0294,16.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,13,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,OPT-04,model revision,16.6667,13.8984,24.5097,0.6667,True,True,False,True,False,True,18.0,0.02,0.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,12,nan,0,nan,100.0,False,nan,nan,True,True,intermediate,OPT-05,model revision,16.3333,9.4167,48.0321,0.6667,True,True,False,True,False,True,18.0,0.0,2.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,0.0526,0,1,False,19,False,18,7,77.9397,False,nan,nan,True,True,intermediate,RNN-01,code completion,20.6667,9.7894,61.6874,0.6667,True,True,False,True,False,True,32.0,0.0323,96.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,RNN-02,model building,16.0,9.699,50.623,0.8333,True,True,True,True,False,True,25.0,0.0125,22.8,Expert,True,True,True,True,True,1.0,1.0,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,RNN-03,model building,20.375,9.7022,61.3473,0.5,True,False,False,True,False,True,26.0,0.0184,12.7344,Expert,False,True,True,True,True,0.75,0.7667,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,0.0588,0,2,False,17,False,13,3,77.6326,False,nan,nan,True,True,intermediate-advanced,TRF-01,code completion,14.25,9.7252,49.8278,0.8333,True,True,True,True,False,True,18.0,0.0,8.1875,Expert,True,True,True,True,True,1.0,1.0,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.0,1,2,True,10,False,5,2,70.3267,False,nan,nan,True,True,intermediate,TRF-02,code completion,12.0,11.215,36.03,0.3333,True,False,False,False,False,True,16.0,0.0417,16.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.75,0.0357,0,4,False,28,False,9,4,63.1297,False,nan,nan,True,True,intermediate-advanced,UVA-02,code completion,30.6667,21.6554,-6.1687,0.8333,True,True,False,True,True,True,47.0,0.0217,133.5556,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Transformer
