topic,source_type,metric,sample_size,mean,std,median,min,max
CNN,AI,public_tests_passed,3,2.0,0.0,2.0,2.0,2.0
CNN,AI,public_tests_total,3,2.0,0.0,2.0,2.0,2.0
CNN,AI,hidden_tests_passed,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,hidden_tests_total,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,public_pass_rate,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,hidden_pass_rate,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,surface_checks_passed,3,1.3333333333333333,0.5773502691896257,1.0,1.0,2.0
CNN,AI,surface_checks_total,3,1.3333333333333333,0.5773502691896257,1.0,1.0,2.0
CNN,AI,shape_checks_passed,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
CNN,AI,behavior_checks_passed,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,correctness_status_binary_pass,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,correctness_status_binary_evaluable,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,reference_solution_fully_valid,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,required_packages_satisfied,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,public_tests_passed,3,2.0,0.0,2.0,2.0,2.0
CNN,Expert,public_tests_total,3,2.0,0.0,2.0,2.0,2.0
CNN,Expert,hidden_tests_passed,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,hidden_tests_total,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,public_pass_rate,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,hidden_pass_rate,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,surface_checks_passed,3,1.3333333333333333,0.5773502691896257,1.0,1.0,2.0
CNN,Expert,surface_checks_total,3,1.3333333333333333,0.5773502691896257,1.0,1.0,2.0
CNN,Expert,shape_checks_passed,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
CNN,Expert,behavior_checks_passed,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,correctness_status_binary_pass,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,correctness_status_binary_evaluable,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,reference_solution_fully_valid,3,1.0,0.0,1.0,1.0,1.0
CNN,Expert,required_packages_satisfied,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,public_tests_passed,3,2.6666666666666665,0.5773502691896258,3.0,2.0,3.0
Optimization,AI,public_tests_total,3,2.6666666666666665,0.5773502691896258,3.0,2.0,3.0
Optimization,AI,hidden_tests_passed,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
Optimization,AI,hidden_tests_total,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
Optimization,AI,public_pass_rate,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,hidden_pass_rate,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,surface_checks_passed,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,surface_checks_total,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,shape_checks_passed,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
Optimization,AI,behavior_checks_passed,3,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0
Optimization,AI,correctness_status_binary_pass,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,correctness_status_binary_evaluable,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,reference_solution_fully_valid,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,required_packages_satisfied,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,public_tests_passed,3,2.0,0.0,2.0,2.0,2.0
Optimization,Expert,public_tests_total,3,2.0,0.0,2.0,2.0,2.0
Optimization,Expert,hidden_tests_passed,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,hidden_tests_total,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,public_pass_rate,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,hidden_pass_rate,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,surface_checks_passed,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
Optimization,Expert,surface_checks_total,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
Optimization,Expert,shape_checks_passed,3,0.0,0.0,0.0,0.0,0.0
Optimization,Expert,behavior_checks_passed,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
Optimization,Expert,correctness_status_binary_pass,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,correctness_status_binary_evaluable,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,reference_solution_fully_valid,3,1.0,0.0,1.0,1.0,1.0
Optimization,Expert,required_packages_satisfied,3,1.0,0.0,1.0,1.0,1.0
RNN,AI,public_tests_passed,5,2.0,0.0,2.0,2.0,2.0
RNN,AI,public_tests_total,5,2.0,0.0,2.0,2.0,2.0
RNN,AI,hidden_tests_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,hidden_tests_total,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,public_pass_rate,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,hidden_pass_rate,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,surface_checks_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,surface_checks_total,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,shape_checks_passed,5,0.0,0.0,0.0,0.0,0.0
RNN,AI,behavior_checks_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,correctness_status_binary_pass,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,correctness_status_binary_evaluable,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,reference_solution_fully_valid,5,1.0,0.0,1.0,1.0,1.0
RNN,AI,required_packages_satisfied,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,public_tests_passed,5,1.8,0.4472135954999579,2.0,1.0,2.0
RNN,Expert,public_tests_total,5,2.0,0.0,2.0,2.0,2.0
RNN,Expert,hidden_tests_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,hidden_tests_total,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,public_pass_rate,5,0.9,0.22360679774997896,1.0,0.5,1.0
RNN,Expert,hidden_pass_rate,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,surface_checks_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,surface_checks_total,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,shape_checks_passed,5,0.0,0.0,0.0,0.0,0.0
RNN,Expert,behavior_checks_passed,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,correctness_status_binary_pass,5,0.8,0.4472135954999579,1.0,0.0,1.0
RNN,Expert,correctness_status_binary_evaluable,5,1.0,0.0,1.0,1.0,1.0
RNN,Expert,reference_solution_fully_valid,5,0.8,0.4472135954999579,1.0,0.0,1.0
RNN,Expert,required_packages_satisfied,5,1.0,0.0,1.0,1.0,1.0
Transformer,AI,public_tests_passed,2,2.0,0.0,2.0,2.0,2.0
Transformer,AI,public_tests_total,2,2.0,0.0,2.0,2.0,2.0
Transformer,AI,hidden_tests_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,hidden_tests_total,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,public_pass_rate,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,hidden_pass_rate,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,surface_checks_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,surface_checks_total,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,shape_checks_passed,2,0.0,0.0,0.0,0.0,0.0
Transformer,AI,behavior_checks_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,correctness_status_binary_pass,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,correctness_status_binary_evaluable,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,reference_solution_fully_valid,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,required_packages_satisfied,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,public_tests_passed,2,2.0,0.0,2.0,2.0,2.0
Transformer,Expert,public_tests_total,2,2.0,0.0,2.0,2.0,2.0
Transformer,Expert,hidden_tests_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,hidden_tests_total,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,public_pass_rate,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,hidden_pass_rate,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,surface_checks_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,surface_checks_total,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,shape_checks_passed,2,0.0,0.0,0.0,0.0,0.0
Transformer,Expert,behavior_checks_passed,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,correctness_status_binary_pass,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,correctness_status_binary_evaluable,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,reference_solution_fully_valid,2,1.0,0.0,1.0,1.0,1.0
Transformer,Expert,required_packages_satisfied,2,1.0,0.0,1.0,1.0,1.0
