difficulty,source_type,metric,sample_size,mean,std,median,min,max
beginner,AI,code_quality_metrics.starter_code_avg_function_loc,1,6.0,,6.0,6.0,6.0
beginner,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.1538,,0.1538,0.1538,0.1538
beginner,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner,AI,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_loc_total,1,13.0,,13.0,13.0,13.0
beginner,AI,code_quality_metrics.starter_code_max_function_loc,1,6.0,,6.0,6.0,6.0
beginner,AI,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_mi,1,95.51,,95.51,95.51,95.51
beginner,AI,instruction_metrics.avg_sentence_length,1,17.2,,17.2,17.2,17.2
beginner,AI,instruction_metrics.flesch_kincaid_grade,1,12.7285,,12.7285,12.7285,12.7285
beginner,AI,instruction_metrics.flesch_reading_ease,1,35.1528,,35.1528,35.1528,35.1528
beginner,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
beginner,AI,instruction_metrics.max_sentence_length,1,35.0,,35.0,35.0,35.0
beginner,AI,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
beginner,AI,instruction_metrics.var_sentence_length,1,98.96,,98.96,98.96,98.96
beginner,AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
beginner,AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
beginner,Expert,code_quality_metrics.starter_code_avg_function_loc,1,0.0,,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_comment_line_ratio,1,0.0,,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_function_count,1,0.0,,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_loc_total,1,12.0,,12.0,12.0,12.0
beginner,Expert,code_quality_metrics.starter_code_max_function_loc,1,0.0,,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_mi,1,100.0,,100.0,100.0,100.0
beginner,Expert,instruction_metrics.avg_sentence_length,1,19.5,,19.5,19.5,19.5
beginner,Expert,instruction_metrics.flesch_kincaid_grade,1,11.975,,11.975,11.975,11.975
beginner,Expert,instruction_metrics.flesch_reading_ease,1,44.83,,44.83,44.83,44.83
beginner,Expert,instruction_metrics.instruction_completeness_ratio,1,0.6667,,0.6667,0.6667,0.6667
beginner,Expert,instruction_metrics.max_sentence_length,1,21.0,,21.0,21.0,21.0
beginner,Expert,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
beginner,Expert,instruction_metrics.var_sentence_length,1,2.25,,2.25,2.25,2.25
beginner,Expert,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
beginner,Expert,structure_metrics.structure_score_weighted,1,0.8778,,0.8778,0.8778,0.8778
beginner-intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,2,14.375,10.78337841309485,14.375,6.75,22.0
beginner-intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.1993,0.12218805178903541,0.1993,0.1129,0.2857
beginner-intermediate,AI,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
beginner-intermediate,AI,code_quality_metrics.starter_code_function_count,2,2.5,2.1213203435596424,2.5,1.0,4.0
beginner-intermediate,AI,code_quality_metrics.starter_code_loc_total,2,41.5,28.991378028648448,41.5,21.0,62.0
beginner-intermediate,AI,code_quality_metrics.starter_code_max_function_loc,2,15.0,9.899494936611665,15.0,8.0,22.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mccabe_max,2,1.0,0.0,1.0,1.0,1.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mi,2,89.81815,14.399310360048494,89.81815,79.6363,100.0
beginner-intermediate,AI,instruction_metrics.avg_sentence_length,2,22.29165,7.012165816992635,22.29165,17.3333,27.25
beginner-intermediate,AI,instruction_metrics.flesch_kincaid_grade,2,10.3738,3.0571054577819203,10.3738,8.2121,12.5355
beginner-intermediate,AI,instruction_metrics.flesch_reading_ease,2,47.6118,12.556095113529523,47.6118,38.7333,56.4903
beginner-intermediate,AI,instruction_metrics.instruction_completeness_ratio,2,1.0,0.0,1.0,1.0,1.0
beginner-intermediate,AI,instruction_metrics.max_sentence_length,2,36.0,12.727922061357855,36.0,27.0,45.0
beginner-intermediate,AI,instruction_metrics.technical_term_density_instruction,2,0.019,0.013859292911256331,0.019,0.0092,0.0288
beginner-intermediate,AI,instruction_metrics.var_sentence_length,2,106.0382,99.20609145097896,106.0382,35.8889,176.1875
beginner-intermediate,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
beginner-intermediate,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
beginner-intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.13635,0.19282801922957152,0.13635,0.0,0.2727
beginner-intermediate,Expert,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_loc_total,2,21.5,0.7071067811865476,21.5,21.0,22.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mi,1,76.5547,,76.5547,76.5547,76.5547
beginner-intermediate,Expert,instruction_metrics.avg_sentence_length,2,20.5,11.313708498984761,20.5,12.5,28.5
beginner-intermediate,Expert,instruction_metrics.flesch_kincaid_grade,2,10.31645,3.1188358797795055,10.31645,8.1111,12.5218
beginner-intermediate,Expert,instruction_metrics.flesch_reading_ease,2,49.44825,14.593764724874799,49.44825,39.1289,59.7676
beginner-intermediate,Expert,instruction_metrics.instruction_completeness_ratio,2,0.75,0.11780398974567888,0.75,0.6667,0.8333
beginner-intermediate,Expert,instruction_metrics.max_sentence_length,2,24.0,9.899494936611665,24.0,17.0,31.0
beginner-intermediate,Expert,instruction_metrics.technical_term_density_instruction,2,0.0,0.0,0.0,0.0,0.0
beginner-intermediate,Expert,instruction_metrics.var_sentence_length,2,10.08335,5.421175559322904,10.08335,6.25,13.9167
beginner-intermediate,Expert,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
beginner-intermediate,Expert,structure_metrics.structure_score_weighted,2,0.8778,0.0,0.8778,0.8778,0.8778
intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,8,7.875,10.408615936534776,5.25,0.0,31.0
intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,8,0.28317499999999995,0.11263450055061155,0.27349999999999997,0.1111,0.4211
intermediate,AI,code_quality_metrics.starter_code_docstring_count,8,0.25,0.4629100498862757,0.0,0.0,1.0
intermediate,AI,code_quality_metrics.starter_code_function_count,8,1.125,0.9910312089651149,1.5,0.0,2.0
intermediate,AI,code_quality_metrics.starter_code_loc_total,8,26.25,7.106335201775948,26.5,15.0,36.0
intermediate,AI,code_quality_metrics.starter_code_max_function_loc,8,8.625,10.44629120788809,6.5,0.0,31.0
intermediate,AI,code_quality_metrics.starter_code_mccabe_max,5,2.2,1.0954451150103321,2.0,1.0,4.0
intermediate,AI,code_quality_metrics.starter_code_mi,8,92.6665,12.076680522513511,98.53335,65.2344,100.0
intermediate,AI,instruction_metrics.avg_sentence_length,8,18.88125,4.482030236399571,18.0,14.75,28.75
intermediate,AI,instruction_metrics.flesch_kincaid_grade,8,11.202412500000001,1.0946190040864188,10.9931,9.9464,12.9198
intermediate,AI,instruction_metrics.flesch_reading_ease,8,43.308125000000004,7.708118978388955,44.5556,32.7254,54.9211
intermediate,AI,instruction_metrics.instruction_completeness_ratio,8,0.958325,0.07716710531604214,1.0,0.8333,1.0
intermediate,AI,instruction_metrics.max_sentence_length,8,28.5,11.551128578133454,26.0,19.0,55.0
intermediate,AI,instruction_metrics.technical_term_density_instruction,8,0.033937499999999995,0.020386826103428377,0.03225,0.009,0.0714
intermediate,AI,instruction_metrics.var_sentence_length,8,64.002125,75.93101854005855,36.19445,8.1875,243.6875
intermediate,AI,structure_metrics.structure_completeness_ratio,8,0.875,0.0,0.875,0.875,0.875
intermediate,AI,structure_metrics.structure_score_weighted,8,0.8667,0.0,0.8667,0.8667,0.8667
intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,7,8.857142857142858,14.099983113802791,0.0,0.0,37.0
