topic,source_type,metric,sample_size,mean,std,median,min,max
CNN,AI,code_quality_metrics.starter_code_avg_function_loc,3,19.666666666666668,12.662279942148386,22.0,6.0,31.0
CNN,AI,code_quality_metrics.starter_code_comment_line_ratio,3,0.23623333333333332,0.07186447894010875,0.2692,0.1538,0.2857
CNN,AI,code_quality_metrics.starter_code_docstring_count,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
CNN,AI,code_quality_metrics.starter_code_function_count,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,code_quality_metrics.starter_code_loc_total,3,20.0,6.557438524302,21.0,13.0,26.0
CNN,AI,code_quality_metrics.starter_code_max_function_loc,3,19.666666666666668,12.662279942148386,22.0,6.0,31.0
CNN,AI,code_quality_metrics.starter_code_mccabe_max,3,1.0,0.0,1.0,1.0,1.0
CNN,AI,code_quality_metrics.starter_code_mi,3,86.9148,18.909516998590952,95.51,65.2344,100.0
CNN,AI,instruction_metrics.avg_sentence_length,3,18.444433333333333,2.041069073631104,17.3333,17.2,20.8
CNN,AI,instruction_metrics.flesch_kincaid_grade,3,10.327333333333334,2.2717362618344006,10.0414,8.2121,12.7285
CNN,AI,instruction_metrics.flesch_reading_ease,3,46.719366666666666,10.781486486720341,48.515,35.1528,56.4903
CNN,AI,instruction_metrics.instruction_completeness_ratio,3,0.9444333333333333,0.0962442898739106,1.0,0.8333,1.0
CNN,AI,instruction_metrics.max_sentence_length,3,31.0,4.0,31.0,27.0,35.0
CNN,AI,instruction_metrics.technical_term_density_instruction,3,0.02563333333333333,0.024205853286619197,0.0288,0.0,0.0481
CNN,AI,instruction_metrics.var_sentence_length,3,68.20296666666667,31.56436564233999,69.76,35.8889,98.96
CNN,AI,structure_metrics.structure_completeness_ratio,3,0.875,0.0,0.875,0.875,0.875
CNN,AI,structure_metrics.structure_score_weighted,3,0.8667000000000001,1.3597399555105182e-16,0.8667,0.8667,0.8667
CNN,Expert,code_quality_metrics.starter_code_avg_function_loc,2,18.5,26.16295090390226,18.5,0.0,37.0
CNN,Expert,code_quality_metrics.starter_code_comment_line_ratio,3,0.1717,0.1494663507281823,0.2424,0.0,0.2727
CNN,Expert,code_quality_metrics.starter_code_docstring_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
CNN,Expert,code_quality_metrics.starter_code_function_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
CNN,Expert,code_quality_metrics.starter_code_loc_total,3,22.333333333333332,10.503967504392486,22.0,12.0,33.0
CNN,Expert,code_quality_metrics.starter_code_max_function_loc,2,18.5,26.16295090390226,18.5,0.0,37.0
CNN,Expert,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
CNN,Expert,code_quality_metrics.starter_code_mi,2,100.0,0.0,100.0,100.0,100.0
CNN,Expert,instruction_metrics.avg_sentence_length,3,21.083333333333332,6.765414498264931,19.5,15.25,28.5
CNN,Expert,instruction_metrics.flesch_kincaid_grade,3,11.1229,1.9685015392424767,11.975,8.8719,12.5218
CNN,Expert,instruction_metrics.flesch_reading_ease,3,45.358366666666676,6.509751825018625,44.83,39.1289,52.1162
CNN,Expert,instruction_metrics.instruction_completeness_ratio,3,0.7778,0.1924308447209023,0.6667,0.6667,1.0
CNN,Expert,instruction_metrics.max_sentence_length,3,25.333333333333332,5.131601439446884,24.0,21.0,31.0
CNN,Expert,instruction_metrics.technical_term_density_instruction,3,0.005466666666666667,0.009468544414709863,0.0,0.0,0.0164
CNN,Expert,instruction_metrics.var_sentence_length,3,15.395833333333334,19.408472430444732,6.25,2.25,37.6875
CNN,Expert,structure_metrics.structure_completeness_ratio,3,0.875,0.0,0.875,0.875,0.875
CNN,Expert,structure_metrics.structure_score_weighted,3,0.8778,0.0,0.8778,0.8778,0.8778
Optimization,AI,code_quality_metrics.starter_code_avg_function_loc,3,2.25,3.897114317029974,0.0,0.0,6.75
Optimization,AI,code_quality_metrics.starter_code_comment_line_ratio,3,0.19846666666666668,0.14976736404615437,0.1129,0.1111,0.3714
Optimization,AI,code_quality_metrics.starter_code_docstring_count,3,0.0,0.0,0.0,0.0,0.0
Optimization,AI,code_quality_metrics.starter_code_function_count,3,1.3333333333333333,2.3094010767585034,0.0,0.0,4.0
Optimization,AI,code_quality_metrics.starter_code_loc_total,3,41.333333333333336,18.339392937971894,35.0,27.0,62.0
Optimization,AI,code_quality_metrics.starter_code_max_function_loc,3,2.6666666666666665,4.618802153517007,0.0,0.0,8.0
Optimization,AI,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
Optimization,AI,code_quality_metrics.starter_code_mi,3,93.2121,11.75698767669678,100.0,79.6363,100.0
Optimization,AI,instruction_metrics.avg_sentence_length,3,20.694433333333333,5.779726460943746,18.5,16.3333,27.25
Optimization,AI,instruction_metrics.flesch_kincaid_grade,3,12.182566666666666,0.7305160527554031,12.5355,11.3426,12.6696
Optimization,AI,instruction_metrics.flesch_reading_ease,3,35.673033333333336,3.0055332810224096,35.5604,32.7254,38.7333
Optimization,AI,instruction_metrics.instruction_completeness_ratio,3,1.0,0.0,1.0,1.0,1.0
Optimization,AI,instruction_metrics.max_sentence_length,3,32.0,11.789826122551595,29.0,22.0,45.0
Optimization,AI,instruction_metrics.technical_term_density_instruction,3,0.01626666666666667,0.012413433583555088,0.0092,0.009,0.0306
Optimization,AI,instruction_metrics.var_sentence_length,3,78.8866,85.0707593942243,41.9167,18.5556,176.1875
Optimization,AI,structure_metrics.structure_completeness_ratio,3,0.875,0.0,0.875,0.875,0.875
Optimization,AI,structure_metrics.structure_score_weighted,3,0.8667000000000001,1.3597399555105182e-16,0.8667,0.8667,0.8667
Optimization,Expert,code_quality_metrics.starter_code_avg_function_loc,3,7.0,12.12435565298214,0.0,0.0,21.0
Optimization,Expert,code_quality_metrics.starter_code_comment_line_ratio,3,0.0,0.0,0.0,0.0,0.0
Optimization,Expert,code_quality_metrics.starter_code_docstring_count,3,0.0,0.0,0.0,0.0,0.0
Optimization,Expert,code_quality_metrics.starter_code_function_count,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
