difficulty,metric,sample_size,mean,std,median,min,max
beginner,bertscore_f1_instruction_only,2,0.8666,0.03266833329081851,0.8666,0.8435,0.8897
beginner,meteor_instruction_only,2,0.37405,0.1045810929374904,0.37405,0.3001,0.448
beginner,rougeL_f1_instruction_only,2,0.2334,0.10507606768432096,0.2334,0.1591,0.3077
beginner,tfidf_cosine_full_text,2,0.4621,0.03790092347159893,0.4621,0.4353,0.4889
beginner,tfidf_cosine_instruction_only,2,0.2245,0.054305800795126875,0.2245,0.1861,0.2629
beginner,topic_coherence_score_ai,2,0.30000000000000004,0.14142135623730953,0.30000000000000004,0.2,0.4
beginner,topic_coherence_score_reference,2,0.2,0.28284271247461906,0.2,0.0,0.4
beginner-intermediate,bertscore_f1_instruction_only,3,0.8445666666666667,0.006598737252939602,0.8423,0.8394,0.852
beginner-intermediate,meteor_instruction_only,3,0.20036666666666667,0.0573851316399408,0.1849,0.1523,0.2639
beginner-intermediate,rougeL_f1_instruction_only,3,0.16316666666666665,0.010371274431492656,0.1624,0.1532,0.1739
beginner-intermediate,tfidf_cosine_full_text,3,0.36156666666666665,0.03886403650334502,0.3715,0.3187,0.3945
beginner-intermediate,tfidf_cosine_instruction_only,3,0.20193333333333333,0.024109403421348558,0.2137,0.1742,0.2179
beginner-intermediate,topic_coherence_score_ai,3,0.3333333333333333,0.2886751345948129,0.5,0.0,0.5
beginner-intermediate,topic_coherence_score_reference,3,0.13333333333333333,0.05773502691896258,0.1,0.1,0.2
intermediate,bertscore_f1_instruction_only,15,0.8440933333333335,0.02117881241330813,0.8437,0.8215,0.9066
intermediate,meteor_instruction_only,15,0.23468666666666668,0.10981172111955126,0.1904,0.1203,0.4759
intermediate,rougeL_f1_instruction_only,15,0.18666666666666668,0.0879628384738746,0.1695,0.086,0.3956
intermediate,tfidf_cosine_full_text,15,0.3857666666666667,0.07024003403296712,0.3929,0.2381,0.4925
intermediate,tfidf_cosine_instruction_only,15,0.20867333333333335,0.08486149612049933,0.2125,0.076,0.3818
intermediate,topic_coherence_score_ai,15,0.38000000000000006,0.20071301473923978,0.4,0.0,0.7
intermediate,topic_coherence_score_reference,15,0.24666666666666667,0.14074631010979935,0.2,0.0,0.5
intermediate-advanced,bertscore_f1_instruction_only,3,0.8423666666666666,0.011548737304715765,0.8359,0.8355,0.8557
intermediate-advanced,meteor_instruction_only,3,0.23293333333333333,0.07883909774555599,0.2193,0.1618,0.3177
intermediate-advanced,rougeL_f1_instruction_only,3,0.2038,0.07942738822345854,0.2312,0.1143,0.2659
intermediate-advanced,tfidf_cosine_full_text,3,0.3570333333333333,0.10908731976418401,0.4023,0.2326,0.4362
intermediate-advanced,tfidf_cosine_instruction_only,3,0.22343333333333334,0.05483879405433104,0.2357,0.1635,0.2711
intermediate-advanced,topic_coherence_score_ai,3,0.39999999999999997,0.264575131106459,0.5,0.1,0.6
intermediate-advanced,topic_coherence_score_reference,3,0.20000000000000004,0.2,0.2,0.0,0.4
