topic,metric,sample_size,mean,std,median,min,max
CNN,bertscore_f1_instruction_only,6,0.8445333333333332,0.023458275014729184,0.8408500000000001,0.8249,0.8897
CNN,meteor_instruction_only,6,0.2551833333333334,0.10978199154081086,0.22715000000000002,0.1523,0.448
CNN,rougeL_f1_instruction_only,6,0.16966666666666666,0.07275428967879945,0.15615,0.0984,0.3077
CNN,tfidf_cosine_full_text,6,0.4143333333333333,0.07302913573818785,0.41490000000000005,0.3033,0.4925
CNN,tfidf_cosine_instruction_only,6,0.19545,0.04693304805784513,0.1999,0.1279,0.2629
CNN,topic_coherence_score_ai,6,0.26666666666666666,0.2338090388900024,0.30000000000000004,0.0,0.5
CNN,topic_coherence_score_reference,6,0.16666666666666666,0.16329931618554522,0.15000000000000002,0.0,0.4
Optimization,bertscore_f1_instruction_only,6,0.84605,0.004799062408429369,0.844,0.8405,0.852
Optimization,meteor_instruction_only,6,0.21788333333333332,0.060698745181977744,0.18919999999999998,0.1699,0.3307
Optimization,rougeL_f1_instruction_only,6,0.16874999999999998,0.01909856015515306,0.16799999999999998,0.1391,0.1975
Optimization,tfidf_cosine_full_text,6,0.37135,0.053843876160618295,0.36385,0.3124,0.4367
Optimization,tfidf_cosine_instruction_only,6,0.18741666666666665,0.055754010319139076,0.20055,0.1095,0.2432
Optimization,topic_coherence_score_ai,6,0.3666666666666667,0.13662601021279464,0.4,0.2,0.5
Optimization,topic_coherence_score_reference,6,0.16666666666666666,0.0816496580927726,0.15000000000000002,0.1,0.3
RNN,bertscore_f1_instruction_only,6,0.8523666666666667,0.03127546429178415,0.8443499999999999,0.8215,0.9066
RNN,meteor_instruction_only,6,0.2929,0.14546496485408436,0.25715,0.1372,0.4759
RNN,rougeL_f1_instruction_only,6,0.2588,0.09205328891462815,0.23085,0.1695,0.3956
RNN,tfidf_cosine_full_text,6,0.40254999999999996,0.053596371145815454,0.39985000000000004,0.3337,0.4911
RNN,tfidf_cosine_instruction_only,6,0.2801333333333333,0.06475046460579774,0.28635,0.2098,0.3818
RNN,topic_coherence_score_ai,6,0.5,0.19999999999999998,0.5,0.2,0.7
RNN,topic_coherence_score_reference,6,0.3666666666666667,0.10327955589886445,0.4,0.2,0.5
Transformer,bertscore_f1_instruction_only,5,0.8395400000000001,0.010337939833448438,0.8359,0.8282,0.8557
Transformer,meteor_instruction_only,5,0.19449999999999998,0.07755227269397073,0.1618,0.1203,0.3177
Transformer,rougeL_f1_instruction_only,5,0.15688,0.08533619982164663,0.1143,0.086,0.2659
Transformer,tfidf_cosine_full_text,5,0.34741999999999995,0.10308398032672195,0.4023,0.2326,0.4362
Transformer,tfidf_cosine_instruction_only,5,0.17543999999999998,0.07873498587032324,0.1635,0.076,0.2711
Transformer,topic_coherence_score_ai,5,0.34,0.2073644135332772,0.3,0.1,0.6
Transformer,topic_coherence_score_reference,5,0.18,0.14832396974191325,0.2,0.0,0.4
