dataset,group,sample_size
exercise_metrics_raw,AI,23
exercise_metrics_raw,Expert,23
exercise_metrics_by_topic_raw,CNN|AI,6
exercise_metrics_by_topic_raw,CNN|Expert,6
exercise_metrics_by_topic_raw,Optimization|AI,6
exercise_metrics_by_topic_raw,Optimization|Expert,6
exercise_metrics_by_topic_raw,RNN|AI,6
exercise_metrics_by_topic_raw,RNN|Expert,6
exercise_metrics_by_topic_raw,Transformer|AI,5
exercise_metrics_by_topic_raw,Transformer|Expert,5
exercise_metrics_analysis,AI,13
exercise_metrics_analysis,Expert,13
exercise_pairs_analysis,overall,13
pair_metrics,overall,23
pair_metrics_by_topic,CNN,6
pair_metrics_by_topic,Optimization,6
pair_metrics_by_topic,RNN,6
pair_metrics_by_topic,Transformer,5
