metric,n_pairs,ai_mean,expert_mean,mean_diff_ai_minus_expert,paired_t_statistic,paired_t_raw_p_value,wilcoxon_statistic,wilcoxon_raw_p_value,cohens_dz,paired_t_p_adjust_bh,wilcoxon_p_adjust_bh
code_quality_metrics.starter_code_avg_function_loc,11,10.522727272727273,8.886363636363637,1.6363636363636365,0.5521400957156793,0.5929770495478618,15.5,0.7734375,0.16647650265452962,0.7200435601652607,0.786865234375
code_quality_metrics.starter_code_comment_line_ratio,12,0.24517500000000003,0.06395833333333333,0.18121666666666666,4.73738785632115,0.0006120150021189822,0.0,0.00048828125,1.36756607705134,0.005202127518011349,0.00390625
code_quality_metrics.starter_code_docstring_count,11,0.36363636363636365,0.09090909090909091,0.2727272727272727,1.9364916731037085,0.08155339870160573,0.0,0.25,0.5838742081211422,0.17330097224091218,0.4444444444444444
code_quality_metrics.starter_code_function_count,11,1.3636363636363635,1.0909090909090908,0.2727272727272727,0.5816750507471109,0.5736632290147847,7.5,0.625,0.1753816266581003,0.7200435601652607,0.7821514423076923
code_quality_metrics.starter_code_loc_total,12,28.583333333333332,18.916666666666668,9.666666666666666,2.3848842565850235,0.03618728042064708,14.5,0.0546875,0.6884567837627319,0.12500140901544377,0.175
code_quality_metrics.starter_code_max_function_loc,11,11.727272727272727,9.909090909090908,1.8181818181818181,0.6267775743246494,0.5448475768910607,12.5,0.4765625,0.18898054918581425,0.7200435601652607,0.7625
code_quality_metrics.starter_code_mccabe_max,6,1.6666666666666667,3.3333333333333335,-1.6666666666666667,-2.0761369963434992,0.09251500555042763,0.0,0.125,-0.847579379526013,0.17475056603969663,0.26123046875
code_quality_metrics.starter_code_mi,11,91.3866,89.58290000000001,1.8037000000000012,0.33293443966784625,0.746058481368609,15.0,0.7421875,0.10038351056049664,0.80906927154211,0.786865234375
instruction_metrics.avg_sentence_length,13,20.051276923076923,18.653846153846153,1.3974307692307695,0.7747151882287034,0.4535030926049947,37.0,0.587890625,0.21486733346456358,0.7008684158440827,0.7821514423076923
instruction_metrics.flesch_kincaid_grade,13,11.225999999999999,11.525053846153845,-0.29905384615384606,-0.3105412824086972,0.7614769614513976,41.0,0.786865234375,-0.08612865514406931,0.80906927154211,0.786865234375
instruction_metrics.flesch_reading_ease,13,43.68766153846154,42.795815384615395,0.8918461538461545,0.1791787385056529,0.8607871051786367,38.0,0.635498046875,0.04969524070423734,0.8607871051786367,0.7821514423076923
instruction_metrics.instruction_completeness_ratio,13,0.9743538461538461,0.7435999999999999,0.2307538461538462,5.740092918346086,9.307025201804119e-05,4.0,0.001708984375,1.592015334078811,0.0015821942843067002,0.009114583333333334
instruction_metrics.max_sentence_length,13,32.46153846153846,25.307692307692307,7.153846153846154,2.0225358121579586,0.06598980337120537,23.5,0.130615234375,0.5609505059382864,0.17042267735102926,0.26123046875
instruction_metrics.technical_term_density_instruction,13,0.03146923076923077,0.019615384615384614,0.01185384615384615,1.987515896768727,0.07017404361512969,18.0,0.10986328125,0.5512377289691874,0.17042267735102926,0.26123046875
instruction_metrics.var_sentence_length,13,89.88658461538463,36.205776923076925,53.68080769230768,2.3889425153113772,0.03420111533066604,17.0,0.0478515625,0.6625734410070065,0.12500140901544377,0.175
structure_metrics.structure_completeness_ratio,13,0.875,0.8942307692307693,-0.019230769230769232,-1.477097891751993,0.16540670552301792,,,-0.40967324519935133,0.28119139938913046,
structure_metrics.structure_score_weighted,13,0.8666999999999999,0.8966000000000001,-0.029899999999999996,-2.3492142001800316,0.03676512029865993,0.0,0.000244140625,-0.651554788907479,0.12500140901544377,0.00390625
