source_type,metric,value,metric_label
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,1.0,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.3333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.5,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.3333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.3333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.3333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.6667,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.5,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.3333,Instruction Completeness
Expert,instruction_metrics.instruction_completeness_ratio,0.8333,Instruction Completeness
AI,instruction_metrics.flesch_reading_ease,48.515,Reading Ease
AI,instruction_metrics.flesch_reading_ease,49.3727,Reading Ease
AI,instruction_metrics.flesch_reading_ease,44.7068,Reading Ease
AI,instruction_metrics.flesch_reading_ease,30.295,Reading Ease
AI,instruction_metrics.flesch_reading_ease,32.5764,Reading Ease
AI,instruction_metrics.flesch_reading_ease,33.8264,Reading Ease
AI,instruction_metrics.flesch_reading_ease,40.7092,Reading Ease
AI,instruction_metrics.flesch_reading_ease,35.1528,Reading Ease
AI,instruction_metrics.flesch_reading_ease,44.97,Reading Ease
AI,instruction_metrics.flesch_reading_ease,28.1924,Reading Ease
AI,instruction_metrics.flesch_reading_ease,36.5721,Reading Ease
AI,instruction_metrics.flesch_reading_ease,54.9211,Reading Ease
AI,instruction_metrics.flesch_reading_ease,56.4903,Reading Ease
AI,instruction_metrics.flesch_reading_ease,38.7333,Reading Ease
AI,instruction_metrics.flesch_reading_ease,48.5568,Reading Ease
AI,instruction_metrics.flesch_reading_ease,35.5604,Reading Ease
AI,instruction_metrics.flesch_reading_ease,32.7254,Reading Ease
AI,instruction_metrics.flesch_reading_ease,49.0598,Reading Ease
AI,instruction_metrics.flesch_reading_ease,44.1412,Reading Ease
AI,instruction_metrics.flesch_reading_ease,41.6725,Reading Ease
AI,instruction_metrics.flesch_reading_ease,48.3119,Reading Ease
AI,instruction_metrics.flesch_reading_ease,47.9318,Reading Ease
AI,instruction_metrics.flesch_reading_ease,42.7863,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,52.1162,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,45.425,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,56.1262,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,74.2402,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,50.4333,Reading Ease
Expert,instruction_metrics.flesch_reading_ease,64.7083,Reading Ease
