participant_id,package_id,overall_usefulness,overall_ease,continued_use_intention,overall_quality,final_comment,rating_time_seconds,saved_at
S001,STUDENT-P01,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,366.43,2026-03-17 06:10:25.099299+00
S004,STUDENT-P04,4,3,3,4,,324.48,2026-03-17 02:51:28.877634+00
S007,STUDENT-P01,3,3,4,4,,285.32,2026-03-17 03:08:31.786093+00
S008,STUDENT-P02,4,4,4,3,,431.39,2026-03-17 03:28:59.383138+00
S009,STUDENT-P03,3,3,3,4,,444.2,2026-03-17 09:28:05.398820+00
S012,STUDENT-P06,4,3,3,4,,265.23,2026-03-17 06:44:38.181448+00
S017,STUDENT-P05,3,3,4,4,有些题比较有帮助，但也有几题信息量偏大。,367.04,2026-03-18 08:17:46.968400+00
S018,STUDENT-P06,4,3,3,3,,395.0,2026-03-18 13:10:49.157383+00
S020,STUDENT-P02,4,4,3,3,,285.15,2026-03-18 04:34:31.970917+00
S022,STUDENT-P04,4,4,4,3,,356.19,2026-03-18 11:27:06.755250+00
S024,STUDENT-P06,4,3,3,4,,359.9,2026-03-18 11:08:36.617102+00
S025,STUDENT-P01,3,4,3,4,,341.52,2026-03-18 06:18:35.429079+00
S027,STUDENT-P03,3,4,3,5,,361.27,2026-03-18 05:07:38.731073+00
S028,STUDENT-P04,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,390.22,2026-03-18 03:58:43.596388+00
S030,STUDENT-P06,4,3,3,4,练习题整体不差，但教学引导还可以再加强。,131.13,2026-03-18 05:32:49.378599+00
S032,STUDENT-P02,4,3,3,4,我会继续做，但希望题目能给更明确的起步说明。,352.32,2026-03-18 03:44:44.622071+00
S035,STUDENT-P05,3,3,4,3,,401.38,2026-03-18 09:13:26.973795+00
S038,STUDENT-P02,3,4,3,4,,224.1,2026-03-19 09:18:34.535334+00
S039,STUDENT-P03,3,3,3,4,,390.31,2026-03-19 02:40:51.377847+00
S040,STUDENT-P04,3,4,4,4,,309.64,2026-03-19 05:47:43.980781+00
S044,STUDENT-P02,4,3,3,4,,307.98,2026-03-19 04:16:56.564705+00
S045,STUDENT-P03,4,3,4,4,,335.57,2026-03-19 13:17:12.080368+00
S046,STUDENT-P04,4,4,4,3,,442.03,2026-03-19 03:28:56.967139+00
S047,STUDENT-P05,4,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,332.09,2026-03-19 15:30:50.759752+00
S049,STUDENT-P01,4,4,4,2,练习题整体不差，但教学引导还可以再加强。,335.6,2026-03-19 14:44:05.027330+00
S051,STUDENT-P03,4,3,4,4,,330.39,2026-03-19 07:44:11.651501+00
S053,STUDENT-P05,4,3,4,3,有些题比较有帮助，但也有几题信息量偏大。,316.9,2026-03-19 03:23:55.012865+00
S055,STUDENT-P01,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,400.39,2026-03-19 06:23:14.983844+00
S059,STUDENT-P05,3,3,4,3,,369.61,2026-03-19 06:17:23.455244+00
S060,STUDENT-P06,4,3,3,4,,354.66,2026-03-19 09:49:17.752032+00
