package_id,metric,metric_label,n,mean,std,median,min,max
STUDENT-P01,overall_usefulness,Overall Usefulness,5,3.2,0.4472,3.0,3.0,4.0
STUDENT-P01,overall_ease,Overall Ease,5,3.4,0.5477,3.0,3.0,4.0
STUDENT-P01,continued_use_intention,Continued Use,5,3.4,0.5477,3.0,3.0,4.0
STUDENT-P01,overall_quality,Overall Quality,5,3.2,0.8367,3.0,2.0,4.0
STUDENT-P01,batch_acceptance_mean,Batch Acceptance Mean,5,3.3,0.2739,3.5,3.0,3.5
STUDENT-P01,rating_time_seconds,Completion Time (s),5,345.852,42.3847,341.52,285.32,400.39
STUDENT-P02,overall_usefulness,Overall Usefulness,5,3.8,0.4472,4.0,3.0,4.0
STUDENT-P02,overall_ease,Overall Ease,5,3.6,0.5477,4.0,3.0,4.0
STUDENT-P02,continued_use_intention,Continued Use,5,3.2,0.4472,3.0,3.0,4.0
STUDENT-P02,overall_quality,Overall Quality,5,3.6,0.5477,4.0,3.0,4.0
STUDENT-P02,batch_acceptance_mean,Batch Acceptance Mean,5,3.55,0.1118,3.5,3.5,3.75
STUDENT-P02,rating_time_seconds,Completion Time (s),5,320.188,77.4725,307.98,224.1,431.39
STUDENT-P03,overall_usefulness,Overall Usefulness,5,3.4,0.5477,3.0,3.0,4.0
STUDENT-P03,overall_ease,Overall Ease,5,3.2,0.4472,3.0,3.0,4.0
STUDENT-P03,continued_use_intention,Continued Use,5,3.4,0.5477,3.0,3.0,4.0
STUDENT-P03,overall_quality,Overall Quality,5,4.2,0.4472,4.0,4.0,5.0
STUDENT-P03,batch_acceptance_mean,Batch Acceptance Mean,5,3.55,0.2739,3.75,3.25,3.75
STUDENT-P03,rating_time_seconds,Completion Time (s),5,372.348,46.6936,361.27,330.39,444.2
STUDENT-P04,overall_usefulness,Overall Usefulness,5,3.6,0.5477,4.0,3.0,4.0
STUDENT-P04,overall_ease,Overall Ease,5,3.6,0.5477,4.0,3.0,4.0
STUDENT-P04,continued_use_intention,Continued Use,5,3.6,0.5477,4.0,3.0,4.0
STUDENT-P04,overall_quality,Overall Quality,5,3.4,0.5477,3.0,3.0,4.0
STUDENT-P04,batch_acceptance_mean,Batch Acceptance Mean,5,3.55,0.326,3.75,3.0,3.75
STUDENT-P04,rating_time_seconds,Completion Time (s),5,364.512,53.2745,356.19,309.64,442.03
STUDENT-P05,overall_usefulness,Overall Usefulness,4,3.5,0.5774,3.5,3.0,4.0
STUDENT-P05,overall_ease,Overall Ease,4,3.0,0.0,3.0,3.0,3.0
STUDENT-P05,continued_use_intention,Continued Use,4,3.75,0.5,4.0,3.0,4.0
STUDENT-P05,overall_quality,Overall Quality,4,3.25,0.5,3.0,3.0,4.0
STUDENT-P05,batch_acceptance_mean,Batch Acceptance Mean,4,3.375,0.1443,3.375,3.25,3.5
STUDENT-P05,rating_time_seconds,Completion Time (s),4,354.3525,37.7309,349.565,316.9,401.38
STUDENT-P06,overall_usefulness,Overall Usefulness,3,4.0,0.0,4.0,4.0,4.0
STUDENT-P06,overall_ease,Overall Ease,3,3.0,0.0,3.0,3.0,3.0
STUDENT-P06,continued_use_intention,Continued Use,3,3.0,0.0,3.0,3.0,3.0
STUDENT-P06,overall_quality,Overall Quality,3,3.6667,0.5774,4.0,3.0,4.0
STUDENT-P06,batch_acceptance_mean,Batch Acceptance Mean,3,3.4167,0.1443,3.5,3.25,3.5
STUDENT-P06,rating_time_seconds,Completion Time (s),3,340.0433,67.1251,359.9,265.23,395.0
