analysis_scope,student_metric,auto_metric,sample_size,pearson_r,pearson_p_value,spearman_r,spearman_p_value,direction,pearson_p_adjust_bh,spearman_p_adjust_bh,spearman_significance
exercise_level_all_exercises,active_engagement_mean,auto_starter_code_mccabe_max,16,-0.4512655483517985,0.07934500876028322,-0.6042184734095568,0.013176937115840982,negative,0.8684784505725851,0.28462184170216526,ns
exercise_level_all_exercises,active_engagement_mean,auto_avg_sentence_length,26,0.10325999000060643,0.6156851101379387,0.2996102876709637,0.13701781005780553,positive,0.9365350971112306,0.6547193217417175,ns
exercise_level_all_exercises,active_engagement_mean,auto_structure_completeness_ratio,26,-0.19737115474406644,0.333816355846121,-0.24239264457807153,0.2328410061718819,negative,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,active_engagement_mean,auto_structure_score_weighted,26,-0.19364747863494822,0.343198619474115,-0.1411544002633302,0.49157427211644456,negative,0.8719503258320467,0.857308482883017,ns
exercise_level_all_exercises,active_engagement_mean,auto_flesch_kincaid_grade,26,-0.04685785948763248,0.8201882386640582,0.09921056510980834,0.6296712757941461,positive,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,active_engagement_mean,auto_flesch_reading_ease,26,0.1300342991419412,0.5266453796775116,0.0561504240031207,0.7852792931846099,positive,0.8750415539257115,0.9637518598174758,ns
exercise_level_all_exercises,active_engagement_mean,auto_starter_code_mi,24,0.12513656440666548,0.5601539142433631,0.04539585927959135,0.8331764963879768,positive,0.887090959956142,0.9762109124916806,ns
exercise_level_all_exercises,active_engagement_mean,auto_instruction_completeness_ratio,26,-0.0365082337643797,0.8594616787340678,0.009278293558019875,0.9641198603218744,positive,0.9790851496818805,0.9823095627280461,ns
exercise_level_all_exercises,active_engagement_mean,auto_technical_term_density_instruction,26,-0.13020933353152497,0.5260842449597916,-0.00901370051650664,0.9651424510467412,negative,0.8750415539257115,0.9823095627280461,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_starter_code_mccabe_max,16,0.24641310574820152,0.35757409911574134,0.4678603750352101,0.067618658499743,positive,0.8719503258320467,0.6547193217417175,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_starter_code_mi,24,-0.28907606519579765,0.17067529373937668,-0.3107396457617837,0.13943096666721763,negative,0.8684784505725851,0.6547193217417175,ns
