exercise_type,source_type,metric,metric_label,n,mean,std,median,min,max
code completion,AI,task_goal_clarity,Task Goal Clarity,23,3.6087,0.499,4.0,3.0,4.0
code completion,AI,key_support,Key Support,23,3.4783,0.5931,4.0,2.0,4.0
code completion,AI,course_relevance,Course Relevance,23,3.4783,0.5931,4.0,2.0,4.0
code completion,AI,learning_help,Learning Help,23,3.3043,0.4705,3.0,3.0,4.0
code completion,AI,info_load,Information Load,23,3.5652,0.5898,4.0,2.0,4.0
code completion,AI,search_effort,Search Effort,23,3.3478,0.487,3.0,3.0,4.0
code completion,AI,active_engagement,Active Engagement,23,3.6522,0.5728,4.0,3.0,5.0
code completion,AI,mental_effort,Mental Effort,23,3.8261,0.6503,4.0,3.0,5.0
code completion,AI,item_mean_score,Overall Item Score,23,3.0978,0.3219,3.125,2.625,3.625
code completion,AI,usability_mean_score,Usability Mean,23,3.4674,0.4217,3.5,2.5,4.0
code completion,AI,cognitive_load_mean_score,Cognitive Load Mean,23,3.5797,0.4946,3.6667,3.0,4.3333
code completion,Expert,task_goal_clarity,Task Goal Clarity,24,3.4167,0.5036,3.0,3.0,4.0
code completion,Expert,key_support,Key Support,24,3.3333,0.4815,3.0,3.0,4.0
code completion,Expert,course_relevance,Course Relevance,24,3.25,0.5316,3.0,2.0,4.0
code completion,Expert,learning_help,Learning Help,24,3.1667,0.4815,3.0,2.0,4.0
code completion,Expert,info_load,Information Load,24,3.4583,0.509,3.0,3.0,4.0
code completion,Expert,search_effort,Search Effort,24,3.4583,0.5882,3.0,3.0,5.0
code completion,Expert,active_engagement,Active Engagement,24,3.4167,0.5036,3.0,3.0,4.0
code completion,Expert,mental_effort,Mental Effort,24,3.75,0.5316,4.0,3.0,5.0
code completion,Expert,item_mean_score,Overall Item Score,24,2.9896,0.2604,3.0,2.5,3.625
code completion,Expert,usability_mean_score,Usability Mean,24,3.2917,0.2725,3.25,2.75,4.0
code completion,Expert,cognitive_load_mean_score,Cognitive Load Mean,24,3.5556,0.4469,3.6667,3.0,4.6667
model building,AI,task_goal_clarity,Task Goal Clarity,23,3.6087,0.583,4.0,3.0,5.0
model building,AI,key_support,Key Support,23,3.3913,0.6564,3.0,2.0,5.0
model building,AI,course_relevance,Course Relevance,23,3.4783,0.7305,4.0,2.0,5.0
model building,AI,learning_help,Learning Help,23,3.2174,0.5997,3.0,2.0,5.0
model building,AI,info_load,Information Load,23,3.4783,0.5108,3.0,3.0,4.0
model building,AI,search_effort,Search Effort,23,3.3478,0.6473,3.0,2.0,5.0
model building,AI,active_engagement,Active Engagement,23,3.4348,0.7878,3.0,2.0,5.0
model building,AI,mental_effort,Mental Effort,23,3.7391,0.5408,4.0,3.0,5.0
model building,AI,item_mean_score,Overall Item Score,23,3.0707,0.436,3.125,2.0,4.0
model building,AI,usability_mean_score,Usability Mean,23,3.4239,0.491,3.25,2.5,4.5
model building,AI,cognitive_load_mean_score,Cognitive Load Mean,23,3.5217,0.4802,3.6667,2.6667,4.6667
model building,Expert,task_goal_clarity,Task Goal Clarity,21,3.6667,0.6583,4.0,2.0,5.0
model building,Expert,key_support,Key Support,21,3.619,0.4976,4.0,3.0,4.0
model building,Expert,course_relevance,Course Relevance,21,3.5238,0.5118,4.0,3.0,4.0
model building,Expert,learning_help,Learning Help,21,3.619,0.8047,4.0,2.0,5.0
model building,Expert,info_load,Information Load,21,3.4286,0.5976,3.0,2.0,4.0
model building,Expert,search_effort,Search Effort,21,3.0,0.4472,3.0,2.0,4.0
model building,Expert,active_engagement,Active Engagement,21,3.6667,0.6583,4.0,2.0,5.0
model building,Expert,mental_effort,Mental Effort,21,3.619,0.4976,4.0,3.0,4.0
model building,Expert,item_mean_score,Overall Item Score,21,3.256,0.3982,3.25,2.625,4.125
model building,Expert,usability_mean_score,Usability Mean,21,3.6071,0.4973,3.5,2.75,4.5
