source_type,metric,metric_label,n,mean,std,median,min,max
AI,task_goal_clarity,Task Goal Clarity,59,3.6102,0.5258,4.0,3.0,5.0
AI,key_support,Key Support,59,3.4407,0.5951,3.0,2.0,5.0
AI,course_relevance,Course Relevance,59,3.4576,0.7028,4.0,2.0,5.0
AI,learning_help,Learning Help,59,3.2542,0.5117,3.0,2.0,5.0
AI,info_load,Information Load,59,3.5085,0.5373,4.0,2.0,4.0
AI,search_effort,Search Effort,59,3.339,0.5449,3.0,2.0,5.0
AI,active_engagement,Active Engagement,59,3.5254,0.7036,4.0,2.0,5.0
AI,mental_effort,Mental Effort,59,3.7458,0.5752,4.0,3.0,5.0
AI,item_mean_score,Overall Item Score,59,3.0869,0.3679,3.125,2.0,4.0
AI,usability_mean_score,Usability Mean,59,3.4407,0.4557,3.5,2.5,4.5
AI,cognitive_load_mean_score,Cognitive Load Mean,59,3.5311,0.4511,3.6667,2.6667,4.6667
Expert,task_goal_clarity,Task Goal Clarity,59,3.4576,0.567,3.0,2.0,5.0
Expert,key_support,Key Support,59,3.4068,0.5291,3.0,2.0,4.0
Expert,course_relevance,Course Relevance,59,3.339,0.5123,3.0,2.0,4.0
Expert,learning_help,Learning Help,59,3.339,0.6327,3.0,2.0,5.0
Expert,info_load,Information Load,59,3.4915,0.5373,4.0,2.0,4.0
Expert,search_effort,Search Effort,59,3.2542,0.5444,3.0,2.0,5.0
Expert,active_engagement,Active Engagement,59,3.4746,0.5976,3.0,2.0,5.0
Expert,mental_effort,Mental Effort,59,3.6949,0.5001,4.0,3.0,5.0
Expert,item_mean_score,Overall Item Score,59,3.072,0.3397,3.125,2.5,4.125
Expert,usability_mean_score,Usability Mean,59,3.3856,0.4056,3.25,2.75,4.5
Expert,cognitive_load_mean_score,Cognitive Load Mean,59,3.4802,0.4301,3.6667,2.3333,4.6667
