topic,source_type,metric,metric_label,n,mean,std,median,min,max
CNN,AI,task_goal_clarity,Task Goal Clarity,14,3.5714,0.6462,3.5,3.0,5.0
CNN,AI,key_support,Key Support,14,3.3571,0.7449,3.0,2.0,5.0
CNN,AI,course_relevance,Course Relevance,14,3.5,0.7596,3.5,2.0,5.0
CNN,AI,learning_help,Learning Help,14,3.4286,0.6462,3.0,3.0,5.0
CNN,AI,info_load,Information Load,14,3.4286,0.5136,3.0,3.0,4.0
CNN,AI,search_effort,Search Effort,14,3.0714,0.4746,3.0,2.0,4.0
CNN,AI,active_engagement,Active Engagement,14,3.7857,0.8018,4.0,3.0,5.0
CNN,AI,mental_effort,Mental Effort,14,3.6429,0.4972,4.0,3.0,4.0
CNN,AI,item_mean_score,Overall Item Score,14,3.1875,0.3726,3.0625,2.75,4.0
CNN,AI,usability_mean_score,Usability Mean,14,3.4643,0.5621,3.375,2.5,4.5
CNN,AI,cognitive_load_mean_score,Cognitive Load Mean,14,3.381,0.4105,3.3333,2.6667,4.0
CNN,Expert,task_goal_clarity,Task Goal Clarity,13,3.6154,0.6504,4.0,3.0,5.0
CNN,Expert,key_support,Key Support,13,3.7692,0.4385,4.0,3.0,4.0
CNN,Expert,course_relevance,Course Relevance,13,3.5385,0.5189,4.0,3.0,4.0
CNN,Expert,learning_help,Learning Help,13,3.6923,0.6304,4.0,3.0,5.0
CNN,Expert,info_load,Information Load,13,3.1538,0.5547,3.0,2.0,4.0
CNN,Expert,search_effort,Search Effort,13,2.9231,0.4935,3.0,2.0,4.0
CNN,Expert,active_engagement,Active Engagement,13,3.8462,0.5547,4.0,3.0,5.0
CNN,Expert,mental_effort,Mental Effort,13,3.6154,0.5064,4.0,3.0,4.0
CNN,Expert,item_mean_score,Overall Item Score,13,3.3462,0.3541,3.25,2.75,4.125
CNN,Expert,usability_mean_score,Usability Mean,13,3.6538,0.4023,3.5,3.0,4.5
CNN,Expert,cognitive_load_mean_score,Cognitive Load Mean,13,3.2308,0.4169,3.3333,2.3333,3.6667
