exercise_id,source_type,topic,difficulty,exercise_type,student_rating_count,task_goal_clarity_mean,task_goal_clarity_std,key_support_mean,key_support_std,course_relevance_mean,course_relevance_std,learning_help_mean,learning_help_std,info_load_mean,info_load_std,search_effort_mean,search_effort_std,active_engagement_mean,active_engagement_std,mental_effort_mean,mental_effort_std,item_mean_score_mean,item_mean_score_std,usability_mean_score_mean,usability_mean_score_std,cognitive_load_mean_score_mean,cognitive_load_mean_score_std,engagement_score_mean,engagement_score_std,auto_flesch_reading_ease,auto_flesch_kincaid_grade,auto_instruction_completeness_ratio,auto_technical_term_density_instruction,auto_avg_sentence_length,auto_structure_completeness_ratio,auto_structure_score_weighted,auto_starter_code_mccabe_max,auto_starter_code_mi,pair_tfidf_cosine_full_text,pair_tfidf_cosine_instruction_only,pair_bertscore_f1_instruction_only,pair_rougeL_f1_instruction_only,pair_meteor_instruction_only,pair_topic_coherence_score_ai
AI-CURATED-CNN-01,AI,CNN,intermediate,code completion,5,3.4,0.5477225575051662,3.2,0.8366600265340756,3.2,0.8366600265340756,3.2,0.44721359549995787,3.6,0.5477225575051661,3.4,0.5477225575051662,3.6,0.8944271909999159,3.8,0.4472135954999579,2.975,0.27099354235848494,3.25,0.6123724356957945,3.6,0.43461988564721693,3.6,0.8944271909999159,48.515,10.0414,0.8333,0.0481,20.8,0.875,0.8667,1.0,65.2344,0.4925,0.1642,,0.1257,0.1904,0.5
AI-CURATED-KER-01,AI,CNN,beginner,model building,5,4.0,0.7071067811865475,3.8,0.8366600265340755,4.0,0.7071067811865475,3.4,0.8944271909999159,3.2,0.4472135954999579,2.8,0.447213595499958,4.2,0.8366600265340757,3.4,0.5477225575051661,3.5,0.414578098794425,3.8,0.5968668193156661,3.13334,0.3800555525183127,4.2,0.8366600265340757,35.1528,12.7285,1.0,0.0,17.2,0.875,0.8667,1.0,95.51,0.4889,0.2629,,0.3077,0.448,0.2
AI-CURATED-KER-02,AI,RNN,intermediate,model building,4,3.75,0.49999999999999994,3.5,0.5773502691896257,3.5,0.5773502691896257,3.0,0.0,3.25,0.49999999999999994,3.5,0.5773502691896257,3.5,0.5773502691896257,3.5,0.5773502691896257,3.125,0.3679900360969936,3.4375,0.375,3.416675,0.5000055558024663,3.5,0.5773502691896257,44.97,10.7133,1.0,0.0339,14.75,0.875,0.8667,,100.0,0.4911,0.2712,,0.3469,0.4759,0.4
AI-CURATED-KER-04,AI,RNN,intermediate,model building,5,3.4,0.5477225575051661,3.2,0.4472135954999579,3.2,0.8366600265340756,2.8,0.447213595499958,3.8,0.447213595499958,3.8,0.4472135954999579,2.8,0.447213595499958,4.0,0.0,2.725,0.270993542358485,3.15,0.45414755311462374,3.86668,0.18255592841647172,2.8,0.447213595499958,36.5721,12.9198,1.0,0.0435,28.75,0.875,0.8667,4.0,86.8638,0.4234,0.3015,,0.3956,0.4544,0.6
AI-CURATED-MIT-01,AI,RNN,intermediate,code completion,5,3.6,0.5477225575051661,3.4,0.5477225575051662,3.4,0.5477225575051662,3.4,0.5477225575051661,3.2,0.8366600265340756,3.0,0.0,3.4,0.5477225575051662,3.6,0.5477225575051661,3.175,0.31374750995027834,3.45,0.4107919181288746,3.26668,0.3651666290886944,3.4,0.5477225575051662,54.9211,9.9464,0.8333,0.0714,17.5,0.875,0.8667,2.0,92.1671,0.3929,0.2125,,0.1695,0.1756,0.7
AI-CURATED-MIT-02,AI,CNN,beginner-intermediate,model building,4,3.25,0.5,3.0,0.0,3.25,0.5,3.75,0.5,3.5,0.5773502691896257,3.0,0.0,3.5,0.5773502691896257,3.75,0.5,3.0625,0.125,3.3125,0.31457643480294795,3.416675,0.31916267926142855,3.5,0.5773502691896257,56.4903,8.2121,1.0,0.0288,17.3333,0.875,0.8667,1.0,100.0,0.3945,0.2179,,0.1739,0.2639,0.5
AI-CURATED-OPT-02,AI,Optimization,beginner-intermediate,training-analysis,5,3.8,0.44721359549995787,3.8,0.44721359549995787,3.4,0.8944271909999159,3.4,0.5477225575051661,3.4,0.5477225575051661,3.2,0.447213595499958,3.8,0.44721359549995787,3.6,0.5477225575051662,3.25,0.30618621784789724,3.6,0.5184110338331931,3.4,0.43461988564721693,3.8,0.44721359549995787,38.7333,12.5355,1.0,0.0092,27.25,0.875,0.8667,1.0,79.6363,0.3187,0.1742,,0.1624,0.1849,0.5
AI-CURATED-OPT-04,AI,Optimization,intermediate,model revision,3,3.3333333333333335,0.5773502691896257,3.3333333333333335,0.5773502691896257,3.3333333333333335,0.5773502691896257,3.0,0.0,3.6666666666666665,0.5773502691896257,3.6666666666666665,0.5773502691896258,3.3333333333333335,0.5773502691896258,3.6666666666666665,0.5773502691896258,2.9166666666666665,0.1909406539564934,3.25,0.4330127018922193,3.6666666666666665,0.33335000124993763,3.3333333333333335,0.5773502691896258,35.5604,11.3426,1.0,0.0306,16.3333,0.875,0.8667,,100.0,0.4326,0.2334,,0.1975,0.3307,0.5
AI-CURATED-OPT-05,AI,Optimization,intermediate,model revision,5,3.6,0.5477225575051661,3.2,0.44721359549995787,3.4,1.140175425099138,3.2,0.447213595499958,3.4,0.5477225575051661,3.2,0.4472135954999579,3.2,1.0954451150103321,3.6,0.5477225575051661,3.05,0.4201934078492903,3.35,0.518411033833193,3.3999800000000002,0.14910101273968612,3.2,1.0954451150103321,32.7254,12.6696,1.0,0.009,18.5,0.875,0.8667,,100.0,0.4367,0.2269,,0.1775,0.2434,0.2
AI-CURATED-RNN-01,AI,RNN,intermediate,code completion,3,3.3333333333333335,0.5773502691896258,3.6666666666666665,0.5773502691896257,3.3333333333333335,0.5773502691896258,3.0,0.0,3.6666666666666665,0.5773502691896258,3.3333333333333335,0.5773502691896257,3.6666666666666665,0.5773502691896257,3.6666666666666665,0.5773502691896258,3.0416666666666665,0.4389855730355307,3.3333333333333335,0.3818813079129867,3.555566666666667,0.5091787145328575,3.6666666666666665,0.5773502691896257,49.0598,11.0745,1.0,0.013,19.25,0.875,0.8667,2.0,97.0667,0.3674,0.304,,0.2323,0.3104,0.2
