participant_id,package_id,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,started_at,submitted_at,attention_check_score,attention_check_passed,created_at,updated_at
S001,STUDENT-P01,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,4,True,2026-03-17 06:10:25.708204+00,2026-03-17 06:10:25.782831+00
S007,STUDENT-P01,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,4,True,2026-03-17 03:08:32.435769+00,2026-03-17 03:08:32.475643+00
S025,STUDENT-P01,是,本科高年级,几乎没有编程基础,一般,不太熟悉,是,CNN,2026-03-18 06:12:54.355504+00,2026-03-18 06:18:35.877102+00,4,True,2026-03-18 06:18:35.892780+00,2026-03-18 06:18:35.902089+00
S049,STUDENT-P01,是,本科低年级,有较多相关课程或项目经验,一般,不太熟悉,否,优化与训练分析,2026-03-19 14:38:29.753693+00,2026-03-19 14:44:05.351253+00,4,True,2026-03-19 14:44:05.432557+00,2026-03-19 14:44:05.493501+00
S055,STUDENT-P01,是,本科高年级,几乎没有编程基础,不太熟悉,非常熟悉,否,CNN; RNN / LSTM,2026-03-19 06:16:34.861284+00,2026-03-19 06:23:15.247202+00,4,True,2026-03-19 06:23:15.312698+00,2026-03-19 06:23:15.330140+00
S008,STUDENT-P02,是,本科低年级,几乎没有编程基础,非常熟悉,非常不熟悉,否,都不太熟悉,2026-03-17 03:21:48.503070+00,2026-03-17 03:28:59.889363+00,4,True,2026-03-17 03:28:59.965386+00,2026-03-17 03:29:00.044923+00
S020,STUDENT-P02,是,硕士研究生,学过机器学习或深度学习基础,一般,非常不熟悉,是,CNN; 优化与训练分析,2026-03-18 04:29:47.095041+00,2026-03-18 04:34:32.241188+00,4,True,2026-03-18 04:34:32.299477+00,2026-03-18 04:34:32.344936+00
S032,STUDENT-P02,是,本科低年级,几乎没有编程基础,一般,比较熟悉,是,Transformer; 优化与训练分析,2026-03-18 03:38:52.836608+00,2026-03-18 03:44:45.161508+00,4,True,2026-03-18 03:44:45.229900+00,2026-03-18 03:44:45.248422+00
S038,STUDENT-P02,是,本科高年级,有较多相关课程或项目经验,一般,非常熟悉,是,CNN; RNN / LSTM,2026-03-19 09:14:50.819647+00,2026-03-19 09:18:34.919423+00,4,True,2026-03-19 09:18:35.092686+00,2026-03-19 09:18:35.124687+00
S044,STUDENT-P02,是,本科高年级,学过基础编程,比较熟悉,比较熟悉,是,Transformer; 优化与训练分析,2026-03-19 04:11:48.731958+00,2026-03-19 04:16:56.710826+00,4,True,2026-03-19 04:16:56.864089+00,2026-03-19 04:16:56.883742+00
S009,STUDENT-P03,是,本科低年级,几乎没有编程基础,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2026-03-17 09:20:41.754742+00,2026-03-17 09:28:05.952636+00,4,True,2026-03-17 09:28:05.989220+00,2026-03-17 09:28:06.043103+00
