participant_id,package_id,blind_exercise_id,exercise_id,source_type,topic,difficulty,exercise_type,item_order,task_goal_clarity,key_support,course_relevance,learning_help,info_load,search_effort,active_engagement,mental_effort,item_mean_score,usability_mean_score,cognitive_load_mean_score,engagement_score,open_comment,open_comment_present,item_saved_at,overall_usefulness,overall_ease,continued_use_intention,overall_quality,batch_acceptance_mean,final_comment,final_comment_present,rating_time_seconds,batch_saved_at,consent,study_stage,programming_background,python_familiarity,framework_familiarity,dl_course_taken,familiar_topics,familiar_topics_count,started_at,submitted_at,response_duration_seconds,attention_check_score,attention_check_passed,participant_straightline_flag,participant_fast_flag_under_180s,auto_flesch_reading_ease,auto_flesch_kincaid_grade,auto_instruction_completeness_ratio,auto_technical_term_density_instruction,auto_avg_sentence_length,auto_structure_completeness_ratio,auto_structure_score_weighted,auto_starter_code_mccabe_max,auto_starter_code_mi,pair_id,pair_tfidf_cosine_full_text,pair_tfidf_cosine_instruction_only,pair_bertscore_f1_instruction_only,pair_rougeL_f1_instruction_only,pair_meteor_instruction_only,pair_topic_coherence_score_ai,pair_topic_coherence_score_reference
S001,STUDENT-P01,B0044,AI-CURATED-CNN-01,AI,CNN,intermediate,code completion,1,4,4,4,3,4,4,4,4,3.125,3.75,4,4,题目不算完全看不懂，但需要更多引导。,True,2026-03-17 06:06:20.771733+00,3,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,True,366.43,2026-03-17 06:10:25.099299+00,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,1,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,366.4278,4,True,False,False,48.515,10.0414,0.8333,0.0481,20.8,0.875,0.8667,1,65.2344,PAIR-CURATED-CNN-01,0.4925,0.1642,0.8249,0.1257,0.1904,0.5,0.3
S001,STUDENT-P01,B0016,OPT-05,Expert,Optimization,intermediate,model revision,2,3,3,3,4,4,3,4,4,3,3.25,3.6667,4,,False,2026-03-17 06:07:22.500586+00,3,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,True,366.43,2026-03-17 06:10:25.099299+00,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,1,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,366.4278,4,True,False,False,48.0321,9.4167,0.6667,0,16.3333,0.875,0.8778,nan,100,PAIR-CURATED-OPT-05,,,,,,,
S001,STUDENT-P01,B0002,AI-CURATED-KER-04,AI,RNN,intermediate,model building,3,3,3,2,2,3,4,2,4,2.375,2.5,3.6667,2,信息有点多，最好再给一步步提示。,True,2026-03-17 06:08:35.078137+00,3,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,True,366.43,2026-03-17 06:10:25.099299+00,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,1,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,366.4278,4,True,False,False,36.5721,12.9198,1,0.0435,28.75,0.875,0.8667,4,86.8638,PAIR-CURATED-KER-04,0.4234,0.3015,0.8692,0.3956,0.4544,0.6,0.4
S001,STUDENT-P01,B0046,TRF-01,Expert,Transformer,intermediate-advanced,code completion,4,4,4,4,3,4,5,4,5,2.875,3.75,4.6667,4,,False,2026-03-17 06:10:04.275316+00,3,3,3,3,3,对基础一般的同学来说，有些题信息有点多，希望增加提示。,True,366.43,2026-03-17 06:10:25.099299+00,是,本科低年级,几乎没有编程基础,一般,不太熟悉,否,都不太熟悉,1,2026-03-17 06:04:19.197881+00,2026-03-17 06:10:25.625641+00,366.4278,4,True,False,False,49.8278,9.7252,0.8333,0,14.25,1,1,3,77.6326,PAIR-CURATED-TRF-01,,,,,,,
S004,STUDENT-P04,B0042,AI-CURATED-KER-01,AI,CNN,beginner,model building,1,5,5,5,3,3,3,5,3,4,4.5,3,5,,False,2026-03-17 02:47:28.171858+00,4,3,3,4,3.5,,False,324.48,2026-03-17 02:51:28.877634+00,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,1,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,324.4834,4,True,False,False,35.1528,12.7285,1,0,17.2,0.875,0.8667,1,95.51,PAIR-CURATED-KER-01,0.4889,0.2629,0.8897,0.3077,0.448,0.2,0
S004,STUDENT-P04,B0022,OPT-02,Expert,Optimization,beginner-intermediate,training-analysis,2,3,3,3,3,4,3,3,4,2.75,3,3.6667,3,,False,2026-03-17 02:48:29.635856+00,4,3,3,4,3.5,,False,324.48,2026-03-17 02:51:28.877634+00,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,1,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,324.4834,4,True,False,False,59.7676,8.1111,0.8333,0,12.5,0.875,0.8778,2,76.5547,PAIR-CURATED-OPT-02,,,,,,,
S004,STUDENT-P04,B0005,AI-CURATED-MIT-01,AI,RNN,intermediate,code completion,3,3,3,3,3,4,3,3,4,2.75,3,3.6667,3,,False,2026-03-17 02:49:31.620799+00,4,3,3,4,3.5,,False,324.48,2026-03-17 02:51:28.877634+00,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,1,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,324.4834,4,True,False,False,54.9211,9.9464,0.8333,0.0714,17.5,0.875,0.8667,2,92.1671,PAIR-CURATED-MIT-01,0.3929,0.2125,0.845,0.1695,0.1756,0.7,0.5
S004,STUDENT-P04,B0033,RNN-02,Expert,RNN,intermediate,model building,4,4,4,4,5,3,3,3,3,3.625,4.25,3,3,,False,2026-03-17 02:50:21.482162+00,4,3,3,4,3.5,,False,324.48,2026-03-17 02:51:28.877634+00,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,1,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,324.4834,4,True,False,False,50.623,9.699,0.8333,0.0125,16,1,1,nan,nan,PAIR-CURATED-RNN-02,,,,,,,
S004,STUDENT-P04,B0031,UVA-02,Expert,Transformer,intermediate-advanced,code completion,5,4,3,3,3,3,3,3,3,3.125,3.25,3,3,,False,2026-03-17 02:51:11.529548+00,4,3,3,4,3.5,,False,324.48,2026-03-17 02:51:28.877634+00,是,本科高年级,学过机器学习或深度学习基础,非常熟悉,不太熟悉,是,CNN,1,2026-03-17 02:46:04.690290+00,2026-03-17 02:51:29.173702+00,324.4834,4,True,False,False,-6.1687,21.6554,0.8333,0.0217,30.6667,0.875,0.8778,4,63.1297,PAIR-CURATED-UVA-02,,,,,,,
S007,STUDENT-P01,B0044,AI-CURATED-CNN-01,AI,CNN,intermediate,code completion,1,3,3,3,3,3,3,3,4,2.875,3,3.3333,3,,False,2026-03-17 03:05:11.366619+00,3,3,4,4,3.5,,False,285.32,2026-03-17 03:08:31.786093+00,是,本科低年级,学过基础编程,比较熟悉,比较熟悉,是,CNN; 优化与训练分析,2,2026-03-17 03:03:47.026349+00,2026-03-17 03:08:32.345102+00,285.3188,4,True,False,False,48.515,10.0414,0.8333,0.0481,20.8,0.875,0.8667,1,65.2344,PAIR-CURATED-CNN-01,0.4925,0.1642,0.8249,0.1257,0.1904,0.5,0.3
